date,open,high,low,close,volume
2023-02-06 22:30:36.268111,694.42,707.2,679.23,690.48,3396483
2023-02-07 22:30:36.268111,684.86,684.86,672.3,678.54,4261114
2023-02-08 22:30:36.268111,675.17,675.17,666.02,672.02,4066265
2023-02-09 22:30:36.268111,681.15,694.71,681.15,685.32,6794333
2023-02-10 22:30:36.268111,680.35,680.35,657.03,677.25,5247135
2023-02-13 22:30:36.268111,685.08,704.16,685.08,687.86,5377235
2023-02-14 22:30:36.268111,678.77,678.77,656.24,669.8,9031232
2023-02-15 22:30:36.268111,667.82,681.11,658.62,663.13,1626324
2023-02-16 22:30:36.268111,662.87,674.49,655.39,663.14,3596695
2023-02-17 22:30:36.268111,666.42,669.27,655.95,661.9,8126393
2023-02-20 22:30:36.268111,645.42,645.42,619.07,643.54,2255635
2023-02-21 22:30:36.268111,641.96,651.74,638.41,638.45,685760
2023-02-22 22:30:36.268111,630.71,630.71,606.48,615.21,534645
2023-02-23 22:30:36.268111,598.71,598.71,591.99,593.37,11451712
2023-02-24 22:30:36.268111,590.22,590.22,579.04,579.44,2915544
2023-02-27 22:30:36.268111,578.52,578.52,567.18,571.79,604184
2023-02-28 22:30:36.268111,572.24,573.5,535.83,557.38,6810277
2023-03-01 22:30:36.268111,561.99,561.99,547.29,555.56,461233
2023-03-02 22:30:36.268111,535.88,535.88,523.27,531.46,4349586
2023-03-03 22:30:36.268111,535.21,553.19,535.21,539.63,1542252
2023-03-06 22:30:36.268111,523.36,523.36,519.91,520.58,620431
2023-03-07 22:30:36.268111,508.21,508.21,483.43,494.24,6767151
2023-03-08 22:30:36.268111,490.03,500.64,477.48,480.21,833446
2023-03-09 22:30:36.268111,462.78,462.78,459.03,461.24,1824147
2023-03-10 22:30:36.268111,439.54,439.54,435.13,437.88,9734581
2023-03-13 22:30:36.268111,420.63,420.63,410.45,419.82,8446137
2023-03-14 22:30:36.268111,414.49,414.49,403.44,411.15,2986138
2023-03-15 22:30:36.268111,397.03,397.03,393.5,394.26,2045459
2023-03-16 22:30:36.268111,388.01,388.01,375.4,378.18,560866
2023-03-17 22:30:36.268111,372.09,372.09,344.86,367.0,395548
2023-03-20 22:30:36.268111,367.46,374.1,357.7,363.18,2674578
2023-03-21 22:30:36.268111,362.74,362.74,359.11,359.11,2390341
2023-03-22 22:30:36.268111,356.96,356.96,334.01,342.78,9293738
2023-03-23 22:30:36.268111,341.71,348.33,330.31,339.57,7143035
2023-03-24 22:30:36.268111,342.21,342.84,328.69,332.81,10178690
2023-03-27 22:30:36.268111,313.23,313.23,311.88,312.57,299560
2023-03-28 22:30:36.268111,298.62,298.62,279.68,290.1,5623489
2023-03-29 22:30:36.268111,268.44,268.44,263.91,266.15,5322012
2023-03-30 22:30:36.268111,245.69,245.69,243.05,243.1,3219846
2023-03-31 22:30:36.268111,243.28,244.06,235.21,239.51,1707752
2023-04-03 22:30:36.268111,225.27,225.27,213.66,221.02,1709279
2023-04-04 22:30:36.268111,216.25,216.25,206.19,213.13,4183138
2023-04-05 22:30:36.268111,201.27,201.27,199.7,200.61,13518154
2023-04-06 22:30:36.268111,188.8,188.8,181.35,184.52,3830585
2023-04-07 22:30:36.268111,171.05,171.05,167.73,169.55,5004962
2023-04-10 22:30:36.268111,156.51,156.51,156.16,156.45,2340593
2023-04-11 22:30:36.268111,147.17,147.17,143.47,147.08,1203554
2023-04-12 22:30:36.268111,138.04,138.04,132.4,132.55,6245377
2023-04-13 22:30:36.268111,125.0,125.0,118.36,120.77,11246045
2023-04-14 22:30:36.268111,111.56,111.56,109.4,110.23,4873522
2023-04-17 22:30:36.268111,100.74,100.74,94.39,99.33,9269263
2023-04-18 22:30:36.268111,93.01,93.01,88.54,89.54,966173
2023-04-19 22:30:36.268111,84.78,84.78,79.79,82.23,10773330
2023-04-20 22:30:36.268111,78.72,78.72,72.9,76.56,2899647
2023-04-21 22:30:36.268111,70.92,70.92,70.02,70.1,4896212
2023-04-24 22:30:36.268111,65.48,65.48,64.05,64.57,7884881
2023-04-25 22:30:36.268111,57.12,57.12,56.61,57.09,861597
2023-04-26 22:30:36.268111,53.68,53.68,50.52,51.07,3224219
2023-04-27 22:30:36.268111,48.1,48.1,47.28,47.84,3942508
2023-04-28 22:30:36.268111,45.54,45.54,43.48,43.72,6137916
2023-05-01 22:30:36.268111,41.75,41.75,40.66,41.36,985580
2023-05-02 22:30:36.268111,40.2,40.2,37.82,38.8,3305629
2023-05-03 22:30:36.268111,34.86,34.86,34.52,34.84,5238279
2023-05-04 22:30:36.268111,31.87,31.87,31.17,31.38,10174924
2023-05-05 22:30:36.268111,29.3,29.3,29.06,29.07,2144760
2023-05-08 22:30:36.268111,26.39,26.39,25.68,25.98,13615100
2023-05-09 22:30:36.268111,23.87,23.87,23.11,23.34,6629375
2023-05-10 22:30:36.268111,20.6,20.6,19.89,20.49,3873921
2023-05-11 22:30:36.268111,18.63,18.63,18.47,18.58,9288820
2023-05-12 22:30:36.268111,17.22,17.22,17.09,17.15,11535071
2023-05-15 22:30:36.268111,16.03,16.03,15.68,15.91,6787526
2023-05-16 22:30:36.268111,14.14,14.14,13.97,14.01,6550947
2023-05-17 22:30:36.268111,12.76,12.76,12.39,12.42,5465701
2023-05-18 22:30:36.268111,11.16,11.16,11.07,11.15,10288240
2023-05-19 22:30:36.268111,10.41,10.41,10.34,10.35,12540693
2023-05-22 22:30:36.268111,10.1,10.1,9.97,10.0,4522991
2023-05-23 22:30:36.268111,10.05,10.26,9.57,10.0,2009465
2023-05-24 22:30:36.268111,10.02,10.11,9.79,10.0,8828465
2023-05-25 22:30:36.268111,9.98,10.02,9.58,10.0,2460121
2023-05-26 22:30:36.268111,9.96,10.02,9.34,10.0,2854510
2023-05-29 22:30:36.268111,10.03,10.03,9.98,10.0,4717114
2023-05-30 22:30:36.268111,9.94,10.03,9.89,10.0,2956602
2023-05-31 22:30:36.268111,9.95,10.45,9.71,10.0,2087734
2023-06-01 22:30:36.268111,9.97,10.19,9.97,10.0,1954840
2023-06-02 22:30:36.268111,10.06,10.35,9.91,10.0,88048
2023-06-05 22:30:36.268111,10.0,10.08,9.79,10.0,2078282
2023-06-06 22:30:36.268111,10.04,10.1,9.93,10.0,1612079
2023-06-07 22:30:36.268111,10.0,10.09,9.85,10.0,8586849
2023-06-08 22:30:36.268111,9.94,10.09,9.89,10.0,991054
2023-06-09 22:30:36.268111,10.09,10.11,10.0,10.0,7702966
2023-06-12 22:30:36.268111,9.95,10.05,9.85,10.0,6754883
2023-06-13 22:30:36.268111,9.97,10.68,9.63,10.0,2336593
2023-06-14 22:30:36.268111,10.0,10.0,9.85,10.0,5962105
2023-06-15 22:30:36.268111,10.04,10.21,9.96,10.0,3779820
2023-06-16 22:30:36.268111,10.02,10.17,9.98,10.0,6572607
2023-06-19 22:30:36.268111,10.0,10.03,9.83,10.0,6326314
2023-06-20 22:30:36.268111,9.99,10.04,9.99,10.0,2931741
2023-06-21 22:30:36.268111,9.92,10.01,9.67,10.0,4021270
2023-06-22 22:30:36.268111,9.97,10.05,9.93,10.0,1809853
2023-06-23 22:30:36.268111,10.03,10.14,9.78,10.0,2066038
2023-06-26 22:30:36.268111,10.04,10.04,9.95,10.0,1957459
2023-06-27 22:30:36.268111,10.09,10.15,9.98,10.0,2496466
2023-06-28 22:30:36.268111,9.99,10.31,9.79,10.0,1147302
2023-06-29 22:30:36.268111,9.99,10.08,9.88,10.0,1791656
2023-06-30 22:30:36.268111,10.05,10.05,9.91,10.0,6375801
2023-07-03 22:30:36.268111,9.97,10.1,9.96,10.0,4722717
2023-07-04 22:30:36.268111,9.99,10.0,9.78,10.0,1302348
2023-07-05 22:30:36.268111,10.0,10.09,10.0,10.0,1426371
2023-07-06 22:30:36.268111,9.99,10.13,9.86,10.0,3405278
2023-07-07 22:30:36.268111,10.04,10.2,9.92,10.0,4595631
2023-07-10 22:30:36.268111,10.02,10.02,9.91,10.0,3575509
2023-07-11 22:30:36.268111,10.02,10.04,9.9,10.0,1745343
2023-07-12 22:30:36.268111,10.04,10.5,9.84,10.0,784593
2023-07-13 22:30:36.268111,10.0,10.03,9.83,10.0,3662481
2023-07-14 22:30:36.268111,9.99,10.05,9.77,10.0,666417
2023-07-17 22:30:36.268111,9.97,10.4,9.89,10.0,3142597
2023-07-18 22:30:36.268111,10.0,10.21,9.9,10.0,3856745
2023-07-19 22:30:36.268111,10.02,10.1,9.78,10.0,933349
2023-07-20 22:30:36.268111,10.04,10.15,9.95,10.0,135378
2023-07-21 22:30:36.268111,10.01,10.01,9.87,10.0,3482953
2023-07-24 22:30:36.268111,10.03,10.07,9.98,10.0,3631182
2023-07-25 22:30:36.268111,10.01,10.36,9.92,10.0,2364605
2023-07-26 22:30:36.268111,10.04,10.33,9.73,10.0,4856913
2023-07-27 22:30:36.268111,9.94,10.05,9.8,10.0,809832
2023-07-28 22:30:36.268111,9.99,10.08,9.96,10.0,540681
2023-07-31 22:30:36.268111,10.01,10.01,9.84,10.0,5289641
2023-08-01 22:30:36.268111,10.01,10.01,9.71,10.0,245524
2023-08-02 22:30:36.268111,10.09,10.12,9.9,10.0,1957938
2023-08-03 22:30:36.268111,10.06,10.19,9.86,10.0,2989148
2023-08-04 22:30:36.268111,10.06,10.82,9.59,10.0,2350597
2023-08-07 22:30:36.268111,10.03,10.26,9.98,10.0,4790912
2023-08-08 22:30:36.268111,9.96,10.35,9.8,10.0,6545581
2023-08-09 22:30:36.268111,9.99,10.19,9.99,10.0,6515115
2023-08-10 22:30:36.268111,10.02,10.04,9.78,10.0,2716172
2023-08-11 22:30:36.268111,10.02,10.17,9.91,10.0,8234673
2023-08-14 22:30:36.268111,10.01,10.03,9.99,10.0,4955124
2023-08-15 22:30:36.268111,9.98,10.23,9.78,10.0,4168943
2023-08-16 22:30:36.268111,10.06,10.06,9.81,10.0,5273243
2023-08-17 22:30:36.268111,10.05,10.05,9.91,10.0,3753831
2023-08-18 22:30:36.268111,10.01,10.01,9.91,10.0,7501053
2023-08-21 22:30:36.268111,10.01,10.37,9.63,10.0,2047310
2023-08-22 22:30:36.268111,10.01,10.02,9.86,10.0,1143483
2023-08-23 22:30:36.268111,10.06,10.24,9.98,10.0,1664196
2023-08-24 22:30:36.268111,9.95,10.06,9.86,10.0,7573515
2023-08-25 22:30:36.268111,10.02,10.78,9.84,10.0,4256233
2023-08-28 22:30:36.268111,10.0,10.02,9.94,10.0,6496286
2023-08-29 22:30:36.268111,9.98,10.05,9.88,10.0,2140925
2023-08-30 22:30:36.268111,10.04,10.05,9.93,10.0,8241593
2023-08-31 22:30:36.268111,9.97,10.36,9.97,10.0,3992952
2023-09-01 22:30:36.268111,10.0,10.06,9.81,10.0,8777797
2023-09-04 22:30:36.268111,10.15,10.21,9.86,10.0,2333747
2023-09-05 22:30:36.268111,10.01,10.01,9.83,10.0,651418
2023-09-06 22:30:36.268111,10.0,10.01,9.9,10.0,4176379
2023-09-07 22:30:36.268111,9.99,10.0,9.7,10.0,5426484
2023-09-08 22:30:36.268111,10.01,10.01,9.98,10.0,1145331
2023-09-11 22:30:36.268111,9.99,10.32,9.91,10.0,5828666
2023-09-12 22:30:36.268111,10.0,10.18,10.0,10.0,4860052
2023-09-13 22:30:36.268111,10.06,10.07,9.99,10.0,1831181
2023-09-14 22:30:36.268111,10.02,10.26,9.96,10.0,1526055
2023-09-15 22:30:36.268111,9.99,10.12,9.89,10.0,3169517
2023-09-18 22:30:36.268111,10.0,10.26,9.6,10.0,2020536
2023-09-19 22:30:36.268111,10.03,10.09,9.95,10.0,3637373
2023-09-20 22:30:36.268111,9.99,10.1,9.96,10.0,2094083
2023-09-21 22:30:36.268111,9.96,10.01,9.81,10.0,7684611
2023-09-22 22:30:36.268111,10.03,10.15,9.88,10.0,4683553
2023-09-25 22:30:36.268111,10.05,10.05,9.96,10.0,4068306
2023-09-26 22:30:36.268111,10.0,10.23,9.99,10.0,4736723
2023-09-27 22:30:36.268111,9.98,10.03,9.88,10.0,2163626
2023-09-28 22:30:36.268111,10.05,10.13,9.96,10.0,4201838
2023-09-29 22:30:36.268111,10.01,10.05,9.95,10.0,2261178
2023-10-02 22:30:36.268111,10.02,10.14,9.27,10.0,873351
2023-10-03 22:30:36.268111,10.04,10.24,9.88,10.0,3094521
2023-10-04 22:30:36.268111,10.05,10.13,9.78,10.0,4058574
2023-10-05 22:30:36.268111,9.94,10.13,9.77,10.0,3151913
2023-10-06 22:30:36.268111,9.98,10.25,9.85,10.0,1658588
2023-10-09 22:30:36.268111,9.98,10.13,9.96,10.0,1663526
2023-10-10 22:30:36.268111,9.99,10.16,9.84,10.0,377065
2023-10-11 22:30:36.268111,10.01,10.07,9.99,10.0,4034554
2023-10-12 22:30:36.268111,9.98,10.02,9.97,10.0,1857495
2023-10-13 22:30:36.268111,10.0,10.15,9.92,10.0,5549474
2023-10-16 22:30:36.268111,9.98,10.1,9.98,10.0,3216648
2023-10-17 22:30:36.268111,10.02,10.06,9.89,10.0,4337576
2023-10-18 22:30:36.268111,10.01,10.23,9.9,10.0,63962
2023-10-19 22:30:36.268111,9.98,10.12,9.92,10.0,338804
2023-10-20 22:30:36.268111,9.98,10.06,9.84,10.0,1748557
2023-10-23 22:30:36.268111,9.94,10.0,9.84,10.0,3505470
2023-10-24 22:30:36.268111,10.07,10.12,9.94,10.0,7642574
2023-10-25 22:30:36.268111,9.99,10.02,9.97,10.0,6696158
2023-10-26 22:30:36.268111,9.99,10.1,9.99,10.0,3042627
2023-10-27 22:30:36.268111,9.98,10.01,9.97,10.0,4820191
2023-10-30 22:30:36.268111,10.06,10.06,9.95,10.0,4823307
2023-10-31 22:30:36.268111,10.01,10.31,9.68,10.0,920871
2023-11-01 22:30:36.268111,10.03,10.15,9.91,10.0,5383525
2023-11-02 22:30:36.268111,10.02,10.08,9.96,10.0,639439
2023-11-03 22:30:36.268111,9.97,10.09,9.93,10.0,3270369
2023-11-06 22:30:36.268111,9.99,10.26,9.87,10.0,3659770
2023-11-07 22:30:36.268111,10.04,10.06,9.96,10.0,780791
2023-11-08 22:30:36.268111,10.06,10.09,9.85,10.0,4485952
2023-11-09 22:30:36.268111,10.04,10.04,9.97,10.0,622263
2023-11-10 22:30:36.268111,9.93,10.05,9.92,10.0,3460157
2023-11-13 22:30:36.268111,9.96,10.21,9.94,10.0,3939723
2023-11-14 22:30:36.268111,10.02,10.23,9.47,10.0,913538
2023-11-15 22:30:36.268111,9.99,10.02,9.88,10.0,5934804
2023-11-16 22:30:36.268111,9.99,10.15,9.77,10.0,1803511
2023-11-17 22:30:36.268111,9.94,10.03,9.85,10.0,5123564
2023-11-20 22:30:36.268111,9.98,10.17,9.88,10.0,3247447
2023-11-21 22:30:36.268111,9.92,10.0,9.66,10.0,2827853
2023-11-22 22:30:36.268111,10.05,10.05,9.96,10.0,1713828
2023-11-23 22:30:36.268111,9.97,10.07,9.9,10.0,7417613
2023-11-24 22:30:36.268111,9.99,10.05,9.99,10.0,3754982
2023-11-27 22:30:36.268111,9.97,10.25,9.92,10.0,8347572
2023-11-28 22:30:36.268111,9.99,10.43,9.7,10.0,695876
2023-11-29 22:30:36.268111,9.94,10.1,9.92,10.0,3313398
2023-11-30 22:30:36.268111,9.99,10.17,9.9,10.0,2501931
2023-12-01 22:30:36.268111,9.94,10.11,9.87,10.0,476524
2023-12-04 22:30:36.268111,9.92,10.13,9.76,10.0,5250008
2023-12-05 22:30:36.268111,9.97,10.0,9.8,10.0,3376441
2023-12-06 22:30:36.268111,9.94,10.03,9.94,10.0,1041241
2023-12-07 22:30:36.268111,10.02,10.29,9.9,10.0,6466600
2023-12-08 22:30:36.268111,10.02,10.18,9.75,10.0,1970847
2023-12-11 22:30:36.268111,9.93,10.06,9.8,10.0,4143141
2023-12-12 22:30:36.268111,10.02,10.31,9.93,10.0,2164882
2023-12-13 22:30:36.268111,10.05,10.51,9.68,10.0,519270
2023-12-14 22:30:36.268111,9.98,10.05,9.66,10.0,1986599
2023-12-15 22:30:36.268111,9.99,10.0,9.99,10.0,1935018
2023-12-18 22:30:36.268111,9.99,10.36,9.94,10.0,1829657
2023-12-19 22:30:36.268111,10.04,10.06,9.98,10.0,2790462
2023-12-20 22:30:36.268111,9.93,10.08,9.82,10.0,3149598
2023-12-21 22:30:36.268111,10.02,10.15,9.99,10.0,4280594
2023-12-22 22:30:36.268111,10.1,10.3,9.8,10.0,1638379
2023-12-25 22:30:36.268111,9.94,10.07,9.85,10.0,4806007
2023-12-26 22:30:36.268111,10.03,10.03,9.97,10.0,6890766
2023-12-27 22:30:36.268111,10.01,10.33,9.85,10.0,4864685
2023-12-28 22:30:36.268111,10.03,10.2,9.76,10.0,1577755
2023-12-29 22:30:36.268111,10.04,10.04,9.91,10.0,8010596
2024-01-01 22:30:36.268111,9.98,10.26,9.96,10.0,2568865
2024-01-02 22:30:36.268111,10.04,10.04,9.98,10.0,3500474
2024-01-03 22:30:36.268111,10.01,10.07,9.95,10.0,3209753
2024-01-04 22:30:36.268111,9.97,10.13,9.86,10.0,1829843
2024-01-05 22:30:36.268111,9.99,10.0,9.71,10.0,3181833
