date,open,high,low,close,volume
2023-02-06 22:30:36.171941,1248.04,1251.38,1234.85,1239.64,524212
2023-02-07 22:30:36.171941,1233.11,1270.37,1220.71,1235.83,1946849
2023-02-08 22:30:36.171941,1233.53,1242.31,1191.54,1224.58,4541704
2023-02-09 22:30:36.171941,1227.81,1245.45,1182.96,1216.04,4696482
2023-02-10 22:30:36.171941,1215.79,1235.49,1202.06,1214.03,620390
2023-02-13 22:30:36.171941,1219.22,1224.27,1159.78,1187.33,2194872
2023-02-14 22:30:36.171941,1189.33,1227.26,1167.42,1183.26,2203092
2023-02-15 22:30:36.171941,1171.76,1171.76,1164.0,1170.87,4159685
2023-02-16 22:30:36.171941,1154.93,1154.93,1118.99,1143.82,250022
2023-02-17 22:30:36.171941,1137.78,1137.78,1112.8,1118.52,1697378
2023-02-20 22:30:36.171941,1099.49,1099.49,1093.19,1096.78,9679139
2023-02-21 22:30:36.171941,1086.78,1086.78,1027.14,1060.22,4972426
2023-02-22 22:30:36.171941,1041.5,1041.5,1013.6,1033.94,321742
2023-02-23 22:30:36.171941,1035.34,1035.34,1000.96,1013.77,5973680
2023-02-24 22:30:36.171941,1012.22,1021.94,967.06,1004.74,307617
2023-02-27 22:30:36.171941,985.53,985.53,963.39,979.08,2216296
2023-02-28 22:30:36.171941,963.51,963.51,943.47,946.39,4814058
2023-03-01 22:30:36.171941,915.06,915.06,901.05,908.69,2030772
2023-03-02 22:30:36.171941,908.07,924.8,882.93,910.22,5590954
2023-03-03 22:30:36.171941,845.12,845.12,811.71,837.69,8145042
2023-03-06 22:30:36.171941,821.55,821.55,815.09,816.06,1159529
2023-03-07 22:30:36.171941,814.78,817.3,812.1,815.94,1651128
2023-03-08 22:30:36.171941,806.35,806.35,797.43,797.97,4594457
2023-03-09 22:30:36.171941,774.08,774.08,765.93,772.59,2358287
2023-03-10 22:30:36.171941,703.58,703.58,695.06,697.14,5837885
2023-03-13 22:30:36.171941,668.2,668.2,662.79,663.07,7442686
2023-03-14 22:30:36.171941,644.85,644.85,626.24,636.07,7382032
2023-03-15 22:30:36.171941,634.43,634.43,619.0,619.67,4380910
2023-03-16 22:30:36.171941,618.14,630.77,586.72,602.74,2665796
2023-03-17 22:30:36.171941,557.38,557.38,544.76,548.31,14602753
2023-03-20 22:30:36.171941,513.19,513.19,503.78,509.7,3313278
2023-03-21 22:30:36.171941,464.78,464.78,461.97,464.05,8270898
2023-03-22 22:30:36.171941,439.43,439.43,433.13,438.22,2028720
2023-03-23 22:30:36.171941,414.67,414.67,411.03,413.35,7856443
2023-03-24 22:30:36.171941,399.65,399.65,396.39,399.0,11135236
2023-03-27 22:30:36.171941,376.09,376.09,368.92,369.55,3394523
2023-03-28 22:30:36.171941,352.93,352.93,348.17,351.81,785131
2023-03-29 22:30:36.171941,335.55,335.55,326.91,327.98,11723464
2023-03-30 22:30:36.171941,301.95,301.95,291.96,297.14,2472648
2023-03-31 22:30:36.171941,272.38,272.38,261.25,268.62,5510761
2023-04-03 22:30:36.171941,261.27,261.27,251.85,253.37,6904538
2023-04-04 22:30:36.171941,231.7,231.7,229.43,231.39,13131088
2023-04-05 22:30:36.171941,218.22,218.22,212.82,214.62,5104054
2023-04-06 22:30:36.171941,190.9,190.9,184.22,189.56,2602088
2023-04-07 22:30:36.171941,177.02,177.02,170.78,172.67,12187697
2023-04-10 22:30:36.171941,160.01,160.01,158.62,158.82,5172613
2023-04-11 22:30:36.171941,150.59,150.59,148.98,149.53,3794185
2023-04-12 22:30:36.171941,130.18,130.18,128.87,129.76,14072938
2023-04-13 22:30:36.171941,120.7,120.7,119.62,120.01,1755955
2023-04-14 22:30:36.171941,110.67,110.67,110.37,110.5,3834142
2023-04-17 22:30:36.171941,104.63,104.63,98.85,103.16,4107695
2023-04-18 22:30:36.171941,93.92,93.92,92.99,93.7,8223978
2023-04-19 22:30:36.171941,84.68,84.68,83.71,84.4,267130
2023-04-20 22:30:36.171941,79.1,79.1,77.35,77.67,5345037
2023-04-21 22:30:36.171941,73.26,73.26,71.24,71.41,3905202
2023-04-24 22:30:36.171941,67.66,67.66,63.68,63.7,4268456
2023-04-25 22:30:36.171941,59.94,59.94,57.81,59.18,8627647
2023-04-26 22:30:36.171941,56.73,56.73,56.27,56.64,352930
2023-04-27 22:30:36.171941,50.83,50.83,50.19,50.77,1028957
2023-04-28 22:30:36.171941,47.3,47.3,46.5,47.21,10832824
2023-05-01 22:30:36.171941,40.98,40.98,40.64,40.84,7719009
2023-05-02 22:30:36.171941,37.78,37.78,36.99,36.99,5063778
2023-05-03 22:30:36.171941,32.7,32.7,32.66,32.68,16796135
2023-05-04 22:30:36.171941,29.69,29.69,29.4,29.62,4322317
2023-05-05 22:30:36.171941,26.93,26.93,26.3,26.69,1613286
2023-05-08 22:30:36.171941,24.16,24.16,24.14,24.14,9987168
2023-05-09 22:30:36.171941,21.35,21.35,20.47,21.06,11955577
2023-05-10 22:30:36.171941,19.85,19.85,19.15,19.32,12394061
2023-05-11 22:30:36.171941,17.07,17.07,16.69,17.06,4143241
2023-05-12 22:30:36.171941,15.83,15.83,14.96,15.61,3935743
2023-05-15 22:30:36.171941,14.45,14.45,14.16,14.26,11138837
2023-05-16 22:30:36.171941,12.86,12.86,12.81,12.84,8581320
