date,open,high,low,close,volume
2023-02-06 22:30:36.715940,592.47,615.23,590.85,600.7,2226094
2023-02-07 22:30:36.715940,594.33,594.33,589.92,593.62,3868053
2023-02-08 22:30:36.715940,571.35,571.35,566.03,568.97,2129956
2023-02-09 22:30:36.715940,562.82,562.82,545.96,557.41,2467180
2023-02-10 22:30:36.715940,557.17,563.09,553.22,555.91,1044564
2023-02-13 22:30:36.715940,554.36,573.24,554.18,557.52,589981
2023-02-14 22:30:36.715940,558.78,558.78,535.75,549.28,3787295
2023-02-15 22:30:36.715940,547.18,587.41,537.47,548.68,6953947
2023-02-16 22:30:36.715940,549.86,561.43,548.1,555.02,2564599
2023-02-17 22:30:36.715940,555.58,555.58,533.0,548.8,3453457
2023-02-20 22:30:36.715940,533.81,533.81,524.89,532.28,2282753
2023-02-21 22:30:36.715940,539.64,549.69,539.64,540.62,2048269
2023-02-22 22:30:36.715940,524.87,524.87,509.09,517.81,3301019
2023-02-23 22:30:36.715940,516.21,516.21,503.52,509.27,152659
2023-02-24 22:30:36.715940,495.41,495.41,489.09,495.4,99751
2023-02-27 22:30:36.715940,483.72,483.72,453.95,478.82,12380605
2023-02-28 22:30:36.715940,477.46,477.46,465.7,475.47,659387
2023-03-01 22:30:36.715940,476.38,494.48,464.42,473.35,1896616
2023-03-02 22:30:36.715940,467.99,478.7,451.72,460.9,6795691
2023-03-03 22:30:36.715940,443.32,443.32,433.07,440.38,11128389
2023-03-06 22:30:36.715940,430.04,430.04,413.56,426.76,5892311
2023-03-07 22:30:36.715940,419.45,419.45,409.89,417.36,4671134
2023-03-08 22:30:36.715940,378.21,378.21,374.6,377.15,3909243
2023-03-09 22:30:36.715940,360.41,360.41,355.34,359.83,4891654
2023-03-10 22:30:36.715940,335.04,335.04,331.04,334.66,1099192
2023-03-13 22:30:36.715940,321.16,321.16,314.65,318.97,535274
2023-03-14 22:30:36.715940,321.33,329.54,312.58,316.23,7504471
2023-03-15 22:30:36.715940,316.17,316.17,297.79,302.48,2976351
2023-03-16 22:30:36.715940,290.13,290.13,286.26,287.13,6693003
2023-03-17 22:30:36.715940,262.95,262.95,255.19,256.96,12575155
2023-03-20 22:30:36.715940,234.45,234.45,232.32,232.95,10728152
2023-03-21 22:30:36.715940,232.0,233.9,221.27,225.53,791015
