date,open,high,low,close,volume
2023-02-06 22:30:36.739812,1721.82,1737.93,1653.36,1705.4,2026107
2023-02-07 22:30:36.739812,1701.12,1701.12,1653.87,1688.19,1341644
2023-02-08 22:30:36.739812,1692.17,1700.5,1692.17,1695.99,1028771
2023-02-09 22:30:36.739812,1699.76,1745.01,1672.38,1693.82,7720104
2023-02-10 22:30:36.739812,1681.76,1715.4,1605.48,1697.38,1505986
2023-02-13 22:30:36.739812,1704.56,1718.08,1682.98,1690.74,1212441
2023-02-14 22:30:36.739812,1690.02,1700.02,1665.54,1677.42,6125675
2023-02-15 22:30:36.739812,1693.22,1697.83,1672.57,1676.94,373999
2023-02-16 22:30:36.739812,1670.81,1693.33,1605.75,1651.93,3140781
2023-02-17 22:30:36.739812,1660.08,1686.39,1651.17,1663.5,2419872
2023-02-20 22:30:36.739812,1643.45,1643.45,1605.58,1643.1,723991
2023-02-21 22:30:36.739812,1619.34,1619.34,1577.29,1586.67,4006648
2023-02-22 22:30:36.739812,1584.44,1587.78,1571.55,1575.88,1780627
2023-02-23 22:30:36.739812,1549.69,1549.69,1524.44,1541.64,401503
2023-02-24 22:30:36.739812,1538.93,1539.03,1511.02,1513.02,3217860
2023-02-27 22:30:36.739812,1495.15,1495.15,1475.39,1479.79,6789499
2023-02-28 22:30:36.739812,1457.13,1457.13,1394.28,1443.03,3235049
2023-03-01 22:30:36.739812,1443.0,1443.0,1383.37,1421.39,5175714
2023-03-02 22:30:36.739812,1389.5,1389.5,1322.94,1355.16,467105
2023-03-03 22:30:36.739812,1336.87,1336.87,1286.98,1316.09,1384250
2023-03-06 22:30:36.739812,1286.48,1286.48,1280.91,1285.79,2496940
2023-03-07 22:30:36.739812,1247.92,1247.92,1238.95,1246.98,3685968
2023-03-08 22:30:36.739812,1255.39,1262.74,1221.66,1236.72,2650321
2023-03-09 22:30:36.739812,1196.99,1196.99,1183.97,1188.79,2113606
2023-03-10 22:30:36.739812,1185.62,1185.62,1162.76,1170.12,3602866
2023-03-13 22:30:36.739812,1172.32,1172.32,1092.36,1155.22,4877620
2023-03-14 22:30:36.739812,1088.18,1088.18,1068.99,1083.65,5336022
2023-03-15 22:30:36.739812,1050.95,1050.95,1015.54,1031.63,5350476
2023-03-16 22:30:36.739812,979.21,979.21,971.21,975.64,8055462
2023-03-17 22:30:36.739812,972.97,972.97,951.05,961.97,7521364
2023-03-20 22:30:36.739812,959.27,990.5,942.61,972.33,4810007
2023-03-21 22:30:36.739812,957.42,957.42,937.61,938.58,982116
2023-03-22 22:30:36.739812,925.58,925.58,905.21,919.21,4096886
2023-03-23 22:30:36.739812,863.86,863.86,851.39,862.48,3042960
2023-03-24 22:30:36.739812,849.74,850.15,813.61,831.42,601892
2023-03-27 22:30:36.739812,823.44,823.44,764.58,788.53,10391962
2023-03-28 22:30:36.739812,787.29,792.27,785.67,790.58,6559443
2023-03-29 22:30:36.739812,738.61,738.61,730.15,737.31,8853989
2023-03-30 22:30:36.739812,692.98,692.98,683.82,687.37,7625235
2023-03-31 22:30:36.739812,639.87,639.87,636.71,639.66,644169
2023-04-03 22:30:36.739812,623.53,623.53,604.62,605.94,13848728
2023-04-04 22:30:36.739812,573.94,573.94,566.76,568.84,900426
2023-04-05 22:30:36.739812,542.17,542.17,531.72,535.07,4696567
2023-04-06 22:30:36.739812,502.56,502.56,495.87,501.34,4287780
2023-04-07 22:30:36.739812,494.42,494.42,477.07,480.84,3136363
2023-04-10 22:30:36.739812,435.88,435.88,429.42,434.5,956760
2023-04-11 22:30:36.739812,393.9,393.9,386.08,390.76,7164394
2023-04-12 22:30:36.739812,379.45,379.45,355.7,366.7,5315363
2023-04-13 22:30:36.739812,363.45,363.45,362.22,362.64,2363021
2023-04-14 22:30:36.739812,334.16,334.16,328.91,330.89,7806948
2023-04-17 22:30:36.739812,305.48,305.48,302.76,304.68,4792879
2023-04-18 22:30:36.739812,304.85,307.6,282.11,289.97,3891735
2023-04-19 22:30:36.739812,268.24,268.24,257.65,261.93,1149748
2023-04-20 22:30:36.739812,248.53,248.53,246.65,247.69,3779843
2023-04-21 22:30:36.739812,226.05,226.05,221.07,223.53,9616006
2023-04-24 22:30:36.739812,206.32,206.32,199.64,203.33,2684939
2023-04-25 22:30:36.739812,189.56,189.56,187.15,189.46,2834365
2023-04-26 22:30:36.739812,169.93,169.93,167.69,168.89,6212199
2023-04-27 22:30:36.739812,158.1,158.1,155.6,156.43,12696305
2023-04-28 22:30:36.739812,147.99,147.99,145.82,147.85,611777
2023-05-01 22:30:36.739812,137.49,137.49,130.63,134.98,6545857
2023-05-02 22:30:36.739812,127.29,127.29,125.63,126.48,7602023
2023-05-03 22:30:36.739812,114.91,114.91,113.45,114.55,9149027
2023-05-04 22:30:36.739812,108.22,108.22,104.3,105.44,3469224
2023-05-05 22:30:36.739812,92.48,92.48,91.3,91.63,19513289
2023-05-08 22:30:36.739812,83.74,83.74,83.53,83.66,298794
2023-05-09 22:30:36.739812,79.15,79.15,77.67,77.78,1817568
2023-05-10 22:30:36.739812,68.61,68.61,68.38,68.59,3946541
2023-05-11 22:30:36.739812,62.98,62.98,61.26,62.42,12479105
2023-05-12 22:30:36.739812,56.95,56.95,55.7,56.11,3620691
2023-05-15 22:30:36.739812,49.12,49.12,48.59,48.88,10290739
2023-05-16 22:30:36.739812,45.56,45.56,44.93,45.27,10869569
2023-05-17 22:30:36.739812,42.08,42.08,41.16,41.83,1028189
2023-05-18 22:30:36.739812,36.78,36.78,36.56,36.75,5514701
2023-05-19 22:30:36.739812,34.38,34.38,34.01,34.31,5109868
2023-05-22 22:30:36.739812,31.12,31.12,30.32,30.81,1750964
2023-05-23 22:30:36.739812,28.71,28.71,27.89,28.41,15659423
2023-05-24 22:30:36.739812,25.23,25.23,24.21,25.06,576736
2023-05-25 22:30:36.739812,23.18,23.18,23.1,23.11,5928774
2023-05-26 22:30:36.739812,21.17,21.17,20.66,20.84,11537139
2023-05-29 22:30:36.739812,18.48,18.48,18.32,18.4,7172268
2023-05-30 22:30:36.739812,17.81,17.81,16.78,17.4,6002697
2023-05-31 22:30:36.739812,15.76,15.76,15.64,15.72,7482268
2023-06-01 22:30:36.739812,14.3,14.3,14.08,14.18,5379430
2023-06-02 22:30:36.739812,13.19,13.19,12.43,12.57,3319694
2023-06-05 22:30:36.739812,11.15,11.15,10.85,10.98,8741367
2023-06-06 22:30:36.739812,10.11,10.11,9.68,10.0,2263020
