date,open,high,low,close,volume
2023-02-06 22:30:36.123304,999.43,999.43,969.77,989.63,7306094
2023-02-07 22:30:36.123304,994.21,1021.57,992.09,992.67,2727107
2023-02-08 22:30:36.123304,994.4,1003.91,968.87,987.61,4921535
2023-02-09 22:30:36.123304,986.11,988.31,978.87,985.15,10057555
2023-02-10 22:30:36.123304,963.05,963.05,951.32,957.62,6693172
2023-02-13 22:30:36.123304,958.01,984.38,950.79,959.02,1863686
2023-02-14 22:30:36.123304,957.33,957.33,932.84,943.97,2123707
2023-02-15 22:30:36.123304,962.78,971.9,962.78,963.6,282904
2023-02-16 22:30:36.123304,963.13,972.95,963.13,970.6,630955
2023-02-17 22:30:36.123304,969.82,1014.73,965.61,980.05,3458255
2023-02-20 22:30:36.123304,993.45,1001.13,952.62,982.56,837396
2023-02-21 22:30:36.123304,974.33,975.56,956.46,967.62,1878843
2023-02-22 22:30:36.123304,968.29,976.0,950.26,971.46,6014636
2023-02-23 22:30:36.123304,966.58,966.58,940.27,951.28,7042322
2023-02-24 22:30:36.123304,963.21,970.58,963.21,965.78,5093527
2023-02-27 22:30:36.123304,979.68,997.73,979.68,984.25,8818107
2023-02-28 22:30:36.123304,1006.99,1024.13,1006.99,1016.28,10390561
2023-03-01 22:30:36.123304,997.12,997.12,954.87,983.35,3519714
2023-03-02 22:30:36.123304,979.08,1001.94,976.9,985.33,5269652
2023-03-03 22:30:36.123304,985.17,985.17,962.1,974.99,3215792
2023-03-06 22:30:36.123304,946.82,946.82,933.41,940.92,6665530
2023-03-07 22:30:36.123304,948.59,950.95,948.59,949.35,4549062
2023-03-08 22:30:36.123304,956.69,981.85,956.69,959.08,5848558
2023-03-09 22:30:36.123304,952.35,995.26,920.32,978.36,2301052
2023-03-10 22:30:36.123304,978.78,999.06,941.82,966.71,365227
2023-03-13 22:30:36.123304,944.62,944.62,918.48,924.02,7312169
2023-03-14 22:30:36.123304,920.27,921.0,907.09,917.25,692212
2023-03-15 22:30:36.123304,920.85,920.85,900.65,913.24,3487454
2023-03-16 22:30:36.123304,916.17,948.35,891.84,896.09,2751862
2023-03-17 22:30:36.123304,895.9,952.7,895.9,898.25,1882251
2023-03-20 22:30:36.123304,879.06,879.06,869.93,876.48,6740108
2023-03-21 22:30:36.123304,875.41,906.04,875.41,882.85,1079910
2023-03-22 22:30:36.123304,853.74,853.74,823.24,840.74,2368691
2023-03-23 22:30:36.123304,829.17,829.17,808.18,816.97,5372410
2023-03-24 22:30:36.123304,815.4,825.7,791.2,796.2,239358
2023-03-27 22:30:36.123304,810.72,819.0,810.72,818.56,7753920
2023-03-28 22:30:36.123304,817.95,830.24,800.89,815.08,8750847
2023-03-29 22:30:36.123304,815.84,818.43,787.18,813.08,7234153
2023-03-30 22:30:36.123304,802.27,802.27,773.13,789.59,1829258
2023-03-31 22:30:36.123304,794.28,821.46,794.12,795.99,6664026
2023-04-03 22:30:36.123304,797.46,802.54,797.46,800.77,217419
2023-04-04 22:30:36.123304,799.33,799.33,770.48,788.28,4531216
2023-04-05 22:30:36.123304,787.32,815.94,783.77,807.04,2806074
2023-04-06 22:30:36.123304,782.73,782.73,751.68,765.67,8995827
2023-04-07 22:30:36.123304,734.83,734.83,715.12,730.01,6862849
2023-04-10 22:30:36.123304,687.87,687.87,680.68,683.76,2641513
2023-04-11 22:30:36.123304,679.38,681.3,651.3,663.68,6994690
2023-04-12 22:30:36.123304,637.36,637.36,629.76,635.04,4048552
2023-04-13 22:30:36.123304,628.56,628.56,613.27,624.48,350436
2023-04-14 22:30:36.123304,594.32,594.32,588.19,594.06,9009782
2023-04-17 22:30:36.123304,570.22,570.22,561.44,568.78,1915986
2023-04-18 22:30:36.123304,549.3,549.3,515.92,548.78,992580
2023-04-19 22:30:36.123304,515.97,515.97,511.9,514.78,3488660
2023-04-20 22:30:36.123304,486.47,486.47,482.08,483.26,3576991
2023-04-21 22:30:36.123304,456.35,456.35,453.57,454.93,3893055
2023-04-24 22:30:36.123304,441.15,441.15,429.36,430.72,9724251
2023-04-25 22:30:36.123304,398.01,398.01,395.32,397.66,8433683
2023-04-26 22:30:36.123304,369.01,369.01,361.12,367.47,3178765
2023-04-27 22:30:36.123304,340.57,340.57,334.64,340.21,3273927
2023-04-28 22:30:36.123304,320.23,320.23,310.28,312.74,1763478
2023-05-01 22:30:36.123304,304.96,304.96,298.41,301.28,6953677
2023-05-02 22:30:36.123304,284.17,284.17,279.85,282.97,3889362
2023-05-03 22:30:36.123304,264.78,264.78,263.16,264.44,4463941
2023-05-04 22:30:36.123304,255.0,255.0,251.65,254.28,8149680
2023-05-05 22:30:36.123304,246.44,246.44,231.15,240.37,5003269
2023-05-08 22:30:36.123304,220.86,220.86,218.84,219.03,15336020
2023-05-09 22:30:36.123304,210.94,210.94,209.93,210.88,1156001
2023-05-10 22:30:36.123304,189.6,189.6,175.77,188.86,2061283
2023-05-11 22:30:36.123304,180.39,180.39,176.55,177.92,2514336
2023-05-12 22:30:36.123304,177.44,177.44,168.93,173.04,7692644
2023-05-15 22:30:36.123304,157.8,157.8,144.73,154.59,1650937
2023-05-16 22:30:36.123304,142.43,142.43,139.06,141.99,4608791
2023-05-17 22:30:36.123304,133.35,133.35,128.05,128.28,937561
2023-05-18 22:30:36.123304,120.99,120.99,120.14,120.71,748326
2023-05-19 22:30:36.123304,107.98,107.98,107.3,107.6,10222129
2023-05-22 22:30:36.123304,101.48,101.48,99.15,99.87,5243171
2023-05-23 22:30:36.123304,90.8,90.8,89.9,90.58,13801908
2023-05-24 22:30:36.123304,86.65,86.65,82.91,83.71,9307254
2023-05-25 22:30:36.123304,78.07,78.07,76.03,77.91,8139607
