date,open,high,low,close,volume
2023-02-06 22:30:36.291913,116.51,118.99,115.04,118.65,2553745
2023-02-07 22:30:36.291913,118.93,118.93,117.33,118.1,6908752
2023-02-08 22:30:36.291913,119.4,119.4,116.31,117.07,1808604
2023-02-09 22:30:36.291913,117.16,118.93,115.94,117.31,466703
2023-02-10 22:30:36.291913,116.97,117.38,115.84,116.54,4015224
2023-02-13 22:30:36.291913,116.5,121.08,115.3,116.26,1347151
2023-02-14 22:30:36.291913,119.03,120.82,119.03,119.71,10144219
2023-02-15 22:30:36.291913,122.8,124.04,122.8,123.12,3943308
2023-02-16 22:30:36.291913,123.03,125.22,120.82,122.25,285039
2023-02-17 22:30:36.291913,123.55,127.32,122.83,124.62,1250385
2023-02-20 22:30:36.291913,128.26,130.26,128.26,128.87,4331060
2023-02-21 22:30:36.291913,130.42,135.08,130.42,134.33,5095073
2023-02-22 22:30:36.291913,135.38,136.57,135.38,135.52,1029527
2023-02-23 22:30:36.291913,135.37,142.74,135.37,140.87,3479534
2023-02-24 22:30:36.291913,140.65,140.65,136.98,140.22,2216644
2023-02-27 22:30:36.291913,139.04,140.16,137.77,138.71,4792576
2023-02-28 22:30:36.291913,138.77,139.7,136.89,138.84,4059949
2023-03-01 22:30:36.291913,137.39,137.39,134.05,136.27,1307719
2023-03-02 22:30:36.291913,134.17,134.17,130.9,133.6,1921130
2023-03-03 22:30:36.291913,132.93,135.52,132.64,135.21,4078558
2023-03-06 22:30:36.291913,134.4,137.48,130.87,133.31,500691
2023-03-07 22:30:36.291913,131.53,131.53,128.94,131.05,288282
2023-03-08 22:30:36.291913,132.96,134.51,132.96,133.05,4384086
2023-03-09 22:30:36.291913,133.15,135.74,132.28,134.96,5192929
2023-03-10 22:30:36.291913,134.17,134.17,128.3,132.8,6232317
2023-03-13 22:30:36.291913,132.15,139.32,132.15,137.34,2579101
2023-03-14 22:30:36.291913,134.86,134.86,134.57,134.84,2235731
2023-03-15 22:30:36.291913,135.8,137.06,135.8,135.89,1610632
2023-03-16 22:30:36.291913,135.07,137.34,134.27,135.64,5607182
2023-03-17 22:30:36.291913,136.23,137.08,133.13,134.86,2247413
2023-03-20 22:30:36.291913,139.69,152.86,139.69,140.33,493459
2023-03-21 22:30:36.291913,139.82,142.62,131.83,137.21,147919
2023-03-22 22:30:36.291913,139.22,140.85,139.22,140.18,1339121
2023-03-23 22:30:36.291913,139.93,142.22,132.63,137.67,895569
2023-03-24 22:30:36.291913,139.0,141.59,139.0,140.12,1704724
2023-03-27 22:30:36.291913,139.41,140.94,139.29,139.78,2378600
2023-03-28 22:30:36.291913,146.81,148.03,146.81,147.09,2915157
2023-03-29 22:30:36.291913,149.81,155.58,149.81,152.16,4393240
2023-03-30 22:30:36.291913,153.97,154.9,153.97,154.8,5248253
2023-03-31 22:30:36.291913,154.78,157.8,152.49,155.93,1920271
2023-04-03 22:30:36.291913,155.73,161.48,152.8,157.68,4787971
2023-04-04 22:30:36.291913,157.92,159.84,157.92,158.02,514457
2023-04-05 22:30:36.291913,157.42,172.92,157.04,164.84,5680574
2023-04-06 22:30:36.291913,165.3,170.43,164.62,166.59,6573248
2023-04-07 22:30:36.291913,168.24,169.37,168.24,168.28,4408946
2023-04-10 22:30:36.291913,173.25,178.96,173.25,174.75,1034552
2023-04-11 22:30:36.291913,179.14,180.53,179.14,179.87,1845368
2023-04-12 22:30:36.291913,180.07,183.62,180.07,183.42,3166820
2023-04-13 22:30:36.291913,190.0,201.07,190.0,197.16,9128417
2023-04-14 22:30:36.291913,213.58,223.68,213.58,215.79,3644520
2023-04-17 22:30:36.291913,231.27,236.22,231.27,234.12,4077146
2023-04-18 22:30:36.291913,257.66,263.21,257.66,258.92,6564643
2023-04-19 22:30:36.291913,296.67,303.73,296.67,297.09,3366910
2023-04-20 22:30:36.291913,349.54,360.32,349.54,350.31,16691550
2023-04-21 22:30:36.291913,396.83,414.89,396.83,407.67,1648182
2023-04-24 22:30:36.291913,505.62,509.14,505.62,507.68,1209382
2023-04-25 22:30:36.291913,654.24,673.56,654.24,670.1,6441003
2023-04-26 22:30:36.291913,980.59,1002.01,980.59,996.22,41431383
2023-04-27 22:30:36.291913,1478.97,1497.37,1478.97,1494.34,2118751
2023-04-28 22:30:36.291913,2231.02,2258.41,2231.02,2241.51,17905061
2023-05-01 22:30:36.291913,3296.65,3492.12,3296.65,3362.26,16082556
2023-05-02 22:30:36.291913,4963.88,5109.49,4963.88,5043.39,8723394
2023-05-03 22:30:36.291913,7437.6,7715.44,7437.6,7565.08,20476885
2023-05-04 22:30:36.291913,11237.03,11449.26,11237.03,11347.62,14520024
2023-05-05 22:30:36.291913,16718.34,17198.08,16718.34,17021.44,23386863
2023-05-08 22:30:36.291913,25370.07,25647.12,25370.07,25532.16,17297555
2023-05-09 22:30:36.291913,37883.27,38792.18,37883.27,38298.23,37330628
2023-05-10 22:30:36.291913,57088.89,58036.58,57088.89,57447.35,25651443
2023-05-11 22:30:36.291913,85445.43,88498.8,85445.43,86171.03,17225920
2023-05-12 22:30:36.291913,96910.61,100128.07,96910.61,100000.0,8105849
2023-05-15 22:30:36.291913,99043.57,100677.37,97803.89,100000.0,3146005
2023-05-16 22:30:36.291913,100670.04,102134.8,99612.01,100000.0,1710649
2023-05-17 22:30:36.291913,99894.84,102796.55,98307.72,100000.0,6402440
2023-05-18 22:30:36.291913,99649.25,100650.97,98931.43,100000.0,2249300
2023-05-19 22:30:36.291913,99503.05,100907.29,98626.34,100000.0,1312564
2023-05-22 22:30:36.291913,100079.6,101714.81,99223.55,100000.0,339128
2023-05-23 22:30:36.291913,100676.61,100788.66,99547.53,100000.0,744225
2023-05-24 22:30:36.291913,100059.36,101606.37,99432.2,100000.0,7805957
2023-05-25 22:30:36.291913,100711.93,100711.93,99972.62,100000.0,7834156
2023-05-26 22:30:36.291913,100046.92,102794.16,99648.11,100000.0,2946445
2023-05-29 22:30:36.291913,99642.04,102964.69,99196.87,100000.0,2169590
2023-05-30 22:30:36.291913,99629.01,101109.88,98816.61,100000.0,4877381
2023-05-31 22:30:36.291913,100706.73,102676.76,98161.72,100000.0,1345052
2023-06-01 22:30:36.291913,100077.7,102232.73,97201.66,100000.0,1669730
2023-06-02 22:30:36.291913,99912.34,102234.53,97496.21,100000.0,7039058
2023-06-05 22:30:36.291913,99641.6,100518.8,98931.12,100000.0,3705073
2023-06-06 22:30:36.291913,100433.46,100628.77,97268.56,100000.0,1104391
2023-06-07 22:30:36.291913,99998.47,102827.16,99692.59,100000.0,398999
2023-06-08 22:30:36.291913,100386.76,102360.1,96145.52,100000.0,2035514
2023-06-09 22:30:36.291913,99515.39,101839.29,96569.06,100000.0,274713
2023-06-12 22:30:36.291913,99057.03,100209.25,97927.49,100000.0,1780229
2023-06-13 22:30:36.291913,99974.35,102290.23,99097.25,100000.0,1251637
2023-06-14 22:30:36.291913,100287.39,100287.39,98475.04,100000.0,1459569
2023-06-15 22:30:36.291913,99790.5,100750.25,99634.98,100000.0,424048
2023-06-16 22:30:36.291913,100015.75,100015.75,98811.13,100000.0,2014248
2023-06-19 22:30:36.291913,99981.47,100206.32,99981.47,100000.0,4178304
2023-06-20 22:30:36.291913,100215.02,104728.94,99979.64,100000.0,4312713
2023-06-21 22:30:36.291913,99955.44,102125.62,99816.96,100000.0,5837718
2023-06-22 22:30:36.291913,99855.08,100549.43,99855.08,100000.0,2494835
2023-06-23 22:30:36.291913,99707.11,100091.68,99349.3,100000.0,1542696
2023-06-26 22:30:36.291913,100174.75,101206.2,99970.36,100000.0,1384413
2023-06-27 22:30:36.291913,100095.9,100197.73,99097.66,100000.0,4046967
2023-06-28 22:30:36.291913,100002.35,103614.87,96809.0,100000.0,5182644
2023-06-29 22:30:36.291913,99734.85,100006.12,99176.59,100000.0,442010
2023-06-30 22:30:36.291913,99823.99,100216.35,98577.01,100000.0,7169130
2023-07-03 22:30:36.291913,99683.82,103265.53,99024.11,100000.0,761983
2023-07-04 22:30:36.291913,100201.68,100201.68,99390.07,100000.0,778669
2023-07-05 22:30:36.291913,100669.36,103760.78,97185.45,100000.0,1785649
2023-07-06 22:30:36.291913,99748.15,100779.59,99404.75,100000.0,2186691
2023-07-07 22:30:36.291913,100134.93,102575.85,99424.63,100000.0,6684920
2023-07-10 22:30:36.291913,100071.71,100105.93,98963.65,100000.0,476209
2023-07-11 22:30:36.291913,99605.84,101483.9,97038.46,100000.0,3119660
2023-07-12 22:30:36.291913,100197.63,101588.63,96374.3,100000.0,4482506
2023-07-13 22:30:36.291913,99951.03,102657.08,98699.3,100000.0,8632144
2023-07-14 22:30:36.291913,100036.97,101645.83,98712.38,100000.0,999898
2023-07-17 22:30:36.291913,99696.48,100370.02,99388.07,100000.0,4359090
2023-07-18 22:30:36.291913,99688.68,100175.43,99688.68,100000.0,9166578
2023-07-19 22:30:36.291913,100572.6,104061.27,98553.26,100000.0,3490653
2023-07-20 22:30:36.291913,100393.78,101070.42,98651.8,100000.0,1676427
2023-07-21 22:30:36.291913,99458.62,100611.62,98293.48,100000.0,4716400
2023-07-24 22:30:36.291913,99936.8,102432.14,98535.27,100000.0,6983671
2023-07-25 22:30:36.291913,99974.4,105509.83,96317.37,100000.0,695489
2023-07-26 22:30:36.291913,99689.76,102541.11,97472.68,100000.0,7204086
2023-07-27 22:30:36.291913,100286.28,101024.25,99289.33,100000.0,4668601
2023-07-28 22:30:36.291913,100010.34,100188.18,99118.42,100000.0,2404217
2023-07-31 22:30:36.291913,99689.59,100830.36,96209.29,100000.0,2393053
2023-08-01 22:30:36.291913,99895.09,100418.65,99479.88,100000.0,3791027
2023-08-02 22:30:36.291913,99732.58,100153.89,99227.5,100000.0,3417646
2023-08-03 22:30:36.291913,99745.1,100807.38,99604.47,100000.0,7335975
2023-08-04 22:30:36.291913,100265.18,103053.9,98695.07,100000.0,2092936
2023-08-07 22:30:36.291913,100411.62,100411.62,99467.63,100000.0,1926253
2023-08-08 22:30:36.291913,100020.25,101077.4,99389.35,100000.0,2226171
2023-08-09 22:30:36.291913,99203.62,100388.61,98194.75,100000.0,1502381
2023-08-10 22:30:36.291913,99876.21,103052.87,98566.18,100000.0,2048730
2023-08-11 22:30:36.291913,99307.82,102033.76,98061.75,100000.0,1812194
2023-08-14 22:30:36.291913,100308.61,100308.61,99839.14,100000.0,4126738
2023-08-15 22:30:36.291913,99950.03,100967.93,98700.49,100000.0,319422
2023-08-16 22:30:36.291913,100245.26,100245.26,99314.1,100000.0,2828562
2023-08-17 22:30:36.291913,100397.07,101637.43,99425.25,100000.0,3492475
2023-08-18 22:30:36.291913,100156.52,100156.52,97741.78,100000.0,6861841
2023-08-21 22:30:36.291913,100192.33,101563.89,99861.5,100000.0,2609133
2023-08-22 22:30:36.291913,99539.35,100723.95,99257.56,100000.0,7493668
2023-08-23 22:30:36.291913,99908.61,100662.36,97332.25,100000.0,1560052
2023-08-24 22:30:36.291913,99872.0,100082.46,95658.38,100000.0,1048941
2023-08-25 22:30:36.291913,99361.81,100184.85,99352.68,100000.0,7907156
2023-08-28 22:30:36.291913,99938.48,100452.51,98401.37,100000.0,1880344
2023-08-29 22:30:36.291913,100142.74,101269.41,99367.28,100000.0,1724817
2023-08-30 22:30:36.291913,100814.48,100814.48,99710.75,100000.0,5483476
2023-08-31 22:30:36.291913,100485.09,103021.0,97001.3,100000.0,3529936
2023-09-01 22:30:36.291913,100321.6,101210.81,98142.98,100000.0,4036835
2023-09-04 22:30:36.291913,99722.68,100240.86,99145.69,100000.0,6846399
2023-09-05 22:30:36.291913,100301.69,100301.69,99299.51,100000.0,136431
2023-09-06 22:30:36.291913,100582.41,101607.2,98469.17,100000.0,920073
2023-09-07 22:30:36.291913,100190.92,100190.92,98110.58,100000.0,6854502
2023-09-08 22:30:36.291913,100331.52,102350.96,95495.9,100000.0,468828
2023-09-11 22:30:36.291913,100085.4,102255.88,97828.89,100000.0,1486508
2023-09-12 22:30:36.291913,99979.66,101656.08,97827.07,100000.0,1777500
2023-09-13 22:30:36.291913,100047.97,100176.71,97257.81,100000.0,6173504
2023-09-14 22:30:36.291913,99968.29,100024.71,99968.29,100000.0,3590434
2023-09-15 22:30:36.291913,100273.45,100386.97,98708.53,100000.0,4675302
2023-09-18 22:30:36.291913,99804.82,105239.4,99804.82,100000.0,7171504
2023-09-19 22:30:36.291913,99691.38,100714.67,99252.29,100000.0,1038388
2023-09-20 22:30:36.291913,99857.92,100595.08,99837.24,100000.0,884503
2023-09-21 22:30:36.291913,100120.72,100120.72,99848.07,100000.0,1636565
2023-09-22 22:30:36.291913,100441.59,101187.36,97689.34,100000.0,2627840
2023-09-25 22:30:36.291913,99262.67,101539.68,96132.55,100000.0,6584260
2023-09-26 22:30:36.291913,99459.66,101185.68,98537.77,100000.0,1803699
2023-09-27 22:30:36.291913,99688.55,103137.12,97749.52,100000.0,2070811
2023-09-28 22:30:36.291913,100210.38,101807.84,99281.6,100000.0,1248380
2023-09-29 22:30:36.291913,100136.21,100136.21,99570.66,100000.0,1682553
2023-10-02 22:30:36.291913,100554.47,105636.9,96950.13,100000.0,3177465
2023-10-03 22:30:36.291913,100056.22,100550.89,99333.33,100000.0,4800261
2023-10-04 22:30:36.291913,100781.39,105711.21,96362.71,100000.0,1944660
2023-10-05 22:30:36.291913,99668.07,100766.8,98685.51,100000.0,1876485
2023-10-06 22:30:36.291913,100277.88,101607.24,99582.2,100000.0,2767946
2023-10-09 22:30:36.291913,100220.1,101153.8,98934.26,100000.0,2444766
2023-10-10 22:30:36.291913,99312.84,100126.13,98089.42,100000.0,7188450
2023-10-11 22:30:36.291913,99984.6,100239.09,98873.25,100000.0,7846215
2023-10-12 22:30:36.291913,100296.91,100464.02,98424.05,100000.0,4031830
2023-10-13 22:30:36.291913,99321.15,100924.23,97725.6,100000.0,3533659
2023-10-16 22:30:36.291913,99676.62,101918.1,98369.32,100000.0,1254072
2023-10-17 22:30:36.291913,100025.36,100025.36,98572.53,100000.0,2344284
2023-10-18 22:30:36.291913,99908.36,100145.3,99908.36,100000.0,1948069
2023-10-19 22:30:36.291913,98814.82,101825.13,98574.53,100000.0,215138
2023-10-20 22:30:36.291913,100124.64,100124.64,99838.55,100000.0,2359839
2023-10-23 22:30:36.291913,100333.94,101879.75,98662.67,100000.0,2701681
2023-10-24 22:30:36.291913,99305.65,100384.44,98855.18,100000.0,410239
2023-10-25 22:30:36.291913,100251.87,100522.75,99590.46,100000.0,945907
2023-10-26 22:30:36.291913,99359.17,100975.1,99359.17,100000.0,503612
2023-10-27 22:30:36.291913,99444.14,101476.79,99444.14,100000.0,7531227
2023-10-30 22:30:36.291913,100855.7,104932.6,98538.66,100000.0,1653131
2023-10-31 22:30:36.291913,100045.09,100063.44,97336.81,100000.0,7465048
2023-11-01 22:30:36.291913,99745.46,100393.85,99745.46,100000.0,9420421
2023-11-02 22:30:36.291913,99552.49,100270.64,99552.49,100000.0,6505693
2023-11-03 22:30:36.291913,100339.48,103165.32,99392.36,100000.0,3146831
2023-11-06 22:30:36.291913,99324.03,101095.65,94967.9,100000.0,1983149
2023-11-07 22:30:36.291913,100643.6,100963.16,99470.12,100000.0,2723656
2023-11-08 22:30:36.291913,99697.39,101922.62,96924.1,100000.0,366088
2023-11-09 22:30:36.291913,99712.36,100260.63,99371.72,100000.0,3196892
