date,open,high,low,close,volume
2023-02-06 22:30:36.364300,447.58,447.58,444.45,445.12,8968589
2023-02-07 22:30:36.364300,435.42,435.42,428.48,432.59,5572526
2023-02-08 22:30:36.364300,432.02,439.63,429.49,431.1,4594231
2023-02-09 22:30:36.364300,433.87,456.39,433.07,441.23,2612817
2023-02-10 22:30:36.364300,442.86,447.61,440.79,444.34,4184415
2023-02-13 22:30:36.364300,440.98,440.98,437.56,439.99,3819001
2023-02-14 22:30:36.364300,436.82,439.69,436.82,438.67,2182776
2023-02-15 22:30:36.364300,441.97,454.55,433.91,439.09,1953262
2023-02-16 22:30:36.364300,455.41,463.16,455.41,457.89,6096356
2023-02-17 22:30:36.364300,459.23,460.89,454.44,457.43,6476505
2023-02-20 22:30:36.364300,460.82,466.0,460.82,464.77,1495752
2023-02-21 22:30:36.364300,464.86,474.05,455.99,473.55,10492865
2023-02-22 22:30:36.364300,473.88,482.87,461.79,470.64,4871014
2023-02-23 22:30:36.364300,473.56,490.29,473.56,480.87,3036002
2023-02-24 22:30:36.364300,471.75,471.75,453.72,467.12,8884937
2023-02-27 22:30:36.364300,467.5,487.51,456.57,473.54,1119686
2023-02-28 22:30:36.364300,474.03,504.81,469.8,490.77,3161105
2023-03-01 22:30:36.364300,491.36,494.57,486.05,493.16,1873015
2023-03-02 22:30:36.364300,495.09,506.52,486.15,501.02,556886
2023-03-03 22:30:36.364300,513.82,521.29,513.82,516.97,6383632
2023-03-06 22:30:36.364300,522.64,537.64,522.64,532.29,2801133
2023-03-07 22:30:36.364300,529.92,555.87,505.05,525.92,2731066
2023-03-08 22:30:36.364300,526.28,529.01,523.9,528.62,3413670
2023-03-09 22:30:36.364300,527.1,529.52,517.32,522.22,1255144
2023-03-10 22:30:36.364300,520.74,520.74,504.08,509.36,3260887
2023-03-13 22:30:36.364300,514.78,522.27,514.78,520.8,2166643
2023-03-14 22:30:36.364300,511.03,511.03,498.52,508.38,6860829
2023-03-15 22:30:36.364300,508.52,512.28,489.68,498.35,3386490
2023-03-16 22:30:36.364300,503.39,525.24,503.39,505.24,9253683
2023-03-17 22:30:36.364300,506.15,506.15,483.73,501.17,1771997
2023-03-20 22:30:36.364300,498.07,498.07,486.98,492.82,5202947
2023-03-21 22:30:36.364300,479.37,479.37,471.76,474.87,1803262
2023-03-22 22:30:36.364300,485.68,496.09,485.68,489.12,9716199
2023-03-23 22:30:36.364300,490.07,498.36,488.28,490.25,3521512
2023-03-24 22:30:36.364300,482.03,482.03,472.03,480.88,2759142
2023-03-27 22:30:36.364300,483.58,488.68,482.16,486.93,5747866
2023-03-28 22:30:36.364300,491.0,504.02,491.0,499.53,2908840
2023-03-29 22:30:36.364300,502.3,516.86,492.34,516.64,1447104
2023-03-30 22:30:36.364300,539.71,544.22,539.71,542.57,3778334
2023-03-31 22:30:36.364300,540.89,558.19,537.44,557.72,8963536
2023-04-03 22:30:36.364300,555.59,555.59,545.14,550.13,6425132
2023-04-04 22:30:36.364300,569.89,576.41,569.89,575.96,4748302
2023-04-05 22:30:36.364300,592.89,597.26,592.89,593.79,4862033
2023-04-06 22:30:36.364300,599.84,604.62,599.84,602.87,3721151
2023-04-07 22:30:36.364300,637.87,647.11,637.87,639.41,1859887
2023-04-10 22:30:36.364300,643.01,656.94,639.54,648.84,3488975
2023-04-11 22:30:36.364300,665.92,669.76,665.92,667.67,7996918
2023-04-12 22:30:36.364300,690.59,709.13,690.59,707.33,8753143
2023-04-13 22:30:36.364300,707.75,729.36,687.25,728.92,1878038
2023-04-14 22:30:36.364300,773.29,792.03,773.29,786.96,1554421
2023-04-17 22:30:36.364300,821.61,841.92,821.61,831.4,6648187
2023-04-18 22:30:36.364300,873.56,882.95,873.56,878.07,1188930
2023-04-19 22:30:36.364300,948.32,1005.28,948.32,983.0,5526061
2023-04-20 22:30:36.364300,1058.82,1096.36,1058.82,1076.23,4218539
2023-04-21 22:30:36.364300,1165.95,1186.03,1165.95,1173.42,3340141
2023-04-24 22:30:36.364300,1359.57,1395.3,1359.57,1374.3,3342482
2023-04-25 22:30:36.364300,1647.51,1665.04,1647.51,1653.55,8838147
2023-04-26 22:30:36.364300,2080.73,2094.49,2080.73,2085.7,21523163
2023-04-27 22:30:36.364300,2800.11,2841.67,2800.11,2813.87,12227548
2023-04-28 22:30:36.364300,4160.21,4241.88,4160.21,4220.81,36493488
2023-05-01 22:30:36.364300,6259.08,6416.63,6259.08,6331.22,5953924
2023-05-02 22:30:36.364300,9443.27,9601.72,9443.27,9496.83,46000874
2023-05-03 22:30:36.364300,14097.68,14374.61,14097.68,14245.24,50000000
2023-05-04 22:30:36.364300,21270.55,21592.33,21270.55,21367.86,32974626
2023-05-05 22:30:36.364300,30693.16,32100.75,30693.16,32051.79,3198351
2023-05-08 22:30:36.364300,47227.76,48215.04,47227.76,48077.69,27532486
2023-05-09 22:30:36.364300,71810.19,73062.7,71810.19,72116.53,11485677
2023-05-10 22:30:36.364300,99576.34,100103.0,99576.34,100000.0,2588319
2023-05-11 22:30:36.364300,100325.93,104935.02,98215.56,100000.0,6320481
2023-05-12 22:30:36.364300,99992.36,100902.7,96210.81,100000.0,3969820
2023-05-15 22:30:36.364300,100102.38,100741.44,97101.66,100000.0,5863010
2023-05-16 22:30:36.364300,99522.89,100961.65,98491.47,100000.0,3618977
2023-05-17 22:30:36.364300,100123.65,100123.65,97783.37,100000.0,3478870
2023-05-18 22:30:36.364300,99099.59,103550.33,92728.93,100000.0,7115126
2023-05-19 22:30:36.364300,100612.2,100612.2,99606.45,100000.0,1439917
2023-05-22 22:30:36.364300,100025.94,100198.87,98897.23,100000.0,4155511
2023-05-23 22:30:36.364300,99625.92,101359.55,99048.73,100000.0,5201476
2023-05-24 22:30:36.364300,100495.35,101409.67,98204.45,100000.0,1550336
2023-05-25 22:30:36.364300,100226.57,103306.86,98343.99,100000.0,1278214
2023-05-26 22:30:36.364300,99682.24,102440.82,99582.5,100000.0,886336
2023-05-29 22:30:36.364300,100643.68,101588.84,99518.85,100000.0,4343293
2023-05-30 22:30:36.364300,100100.31,101206.95,97357.52,100000.0,4241378
2023-05-31 22:30:36.364300,99706.86,100347.69,99706.86,100000.0,997670
2023-06-01 22:30:36.364300,99865.1,100364.52,99820.22,100000.0,1495618
2023-06-02 22:30:36.364300,100415.16,100848.73,97439.45,100000.0,1766550
2023-06-05 22:30:36.364300,100310.32,100551.37,97483.94,100000.0,5045542
2023-06-06 22:30:36.364300,100028.09,100028.09,99373.28,100000.0,1347045
2023-06-07 22:30:36.364300,100106.37,103902.77,99031.38,100000.0,8683734
2023-06-08 22:30:36.364300,99555.33,100144.73,98789.45,100000.0,3672739
2023-06-09 22:30:36.364300,100305.19,100607.43,99216.21,100000.0,3051497
2023-06-12 22:30:36.364300,100265.92,104335.81,98270.35,100000.0,5673072
2023-06-13 22:30:36.364300,99439.5,102120.75,99020.63,100000.0,5608125
2023-06-14 22:30:36.364300,99576.99,101001.22,98945.06,100000.0,2334919
2023-06-15 22:30:36.364300,99998.87,101039.64,99698.91,100000.0,3832799
2023-06-16 22:30:36.364300,99973.16,102407.03,99893.65,100000.0,839136
2023-06-19 22:30:36.364300,99810.22,101015.26,99086.41,100000.0,707899
2023-06-20 22:30:36.364300,100332.73,100921.86,99216.89,100000.0,1813479
2023-06-21 22:30:36.364300,100159.51,100602.28,98944.93,100000.0,2289737
2023-06-22 22:30:36.364300,99974.44,104108.08,99145.65,100000.0,5221292
2023-06-23 22:30:36.364300,100220.9,100466.89,96732.14,100000.0,2742896
2023-06-26 22:30:36.364300,99445.77,100022.72,99445.77,100000.0,2161815
2023-06-27 22:30:36.364300,100110.88,100110.88,99984.38,100000.0,6020695
2023-06-28 22:30:36.364300,100455.55,101748.79,99826.85,100000.0,520824
2023-06-29 22:30:36.364300,98824.48,100825.13,98192.1,100000.0,133864
2023-06-30 22:30:36.364300,99968.22,100473.78,99259.04,100000.0,3599359
2023-07-03 22:30:36.364300,100242.52,102597.68,99997.76,100000.0,3376908
2023-07-04 22:30:36.364300,100093.61,101096.4,97976.8,100000.0,754577
2023-07-05 22:30:36.364300,99777.14,100430.43,95973.67,100000.0,245989
2023-07-06 22:30:36.364300,100130.01,100711.98,98305.02,100000.0,3929592
2023-07-07 22:30:36.364300,99989.48,100689.96,96564.52,100000.0,439541
2023-07-10 22:30:36.364300,100281.86,103506.6,99087.98,100000.0,1983936
2023-07-11 22:30:36.364300,100098.47,101050.79,99003.69,100000.0,1457989
2023-07-12 22:30:36.364300,99751.24,100149.09,99172.7,100000.0,1564013
2023-07-13 22:30:36.364300,99809.29,100091.26,99334.46,100000.0,787153
2023-07-14 22:30:36.364300,100066.47,100893.78,96806.45,100000.0,905597
2023-07-17 22:30:36.364300,99232.89,106995.06,98206.27,100000.0,6286375
2023-07-18 22:30:36.364300,100201.24,105010.24,98750.67,100000.0,3129206
2023-07-19 22:30:36.364300,100476.51,102021.75,96651.31,100000.0,4125993
2023-07-20 22:30:36.364300,100155.6,100401.49,99116.73,100000.0,859741
2023-07-21 22:30:36.364300,100334.79,100334.79,97749.75,100000.0,1620175
2023-07-24 22:30:36.364300,100318.95,100485.88,99935.33,100000.0,3157242
2023-07-25 22:30:36.364300,99951.6,100451.13,99565.45,100000.0,376285
2023-07-26 22:30:36.364300,100015.6,101291.73,99875.29,100000.0,2860630
2023-07-27 22:30:36.364300,99516.65,101111.74,98569.21,100000.0,3341287
2023-07-28 22:30:36.364300,100031.0,101161.26,99733.04,100000.0,5145028
2023-07-31 22:30:36.364300,99904.9,103805.72,96319.49,100000.0,3526914
2023-08-01 22:30:36.364300,99984.76,104560.04,98883.16,100000.0,2491619
2023-08-02 22:30:36.364300,100502.87,102666.95,98218.53,100000.0,1719474
2023-08-03 22:30:36.364300,100212.51,100212.51,99887.42,100000.0,2566800
2023-08-04 22:30:36.364300,100172.79,100172.79,99625.34,100000.0,536110
2023-08-07 22:30:36.364300,100444.04,100710.38,99507.21,100000.0,1706541
2023-08-08 22:30:36.364300,99975.59,100774.3,99885.79,100000.0,3649101
2023-08-09 22:30:36.364300,100061.84,101105.0,99583.62,100000.0,9195130
2023-08-10 22:30:36.364300,99563.92,100226.7,99005.97,100000.0,5084165
2023-08-11 22:30:36.364300,99968.3,101464.65,97986.95,100000.0,4240325
2023-08-14 22:30:36.364300,99924.79,100469.53,99509.17,100000.0,6327579
2023-08-15 22:30:36.364300,99855.85,104169.51,97627.55,100000.0,847144
2023-08-16 22:30:36.364300,100214.28,100214.28,99284.73,100000.0,1295448
2023-08-17 22:30:36.364300,99717.39,101277.16,90952.03,100000.0,1901384
2023-08-18 22:30:36.364300,100666.82,101942.89,99644.51,100000.0,3801478
2023-08-21 22:30:36.364300,99482.05,100138.25,99265.29,100000.0,2383332
2023-08-22 22:30:36.364300,100035.23,101728.18,97719.46,100000.0,2208298
2023-08-23 22:30:36.364300,99680.93,100000.65,97406.06,100000.0,103047
2023-08-24 22:30:36.364300,99919.61,103037.22,97669.64,100000.0,2911282
2023-08-25 22:30:36.364300,99730.01,101616.82,99730.01,100000.0,2265808
2023-08-28 22:30:36.364300,100247.72,100735.3,99455.37,100000.0,6860455
2023-08-29 22:30:36.364300,100272.75,100782.34,99298.31,100000.0,1117540
2023-08-30 22:30:36.364300,99791.62,100105.91,97347.14,100000.0,136483
2023-08-31 22:30:36.364300,100007.56,102090.43,99002.09,100000.0,820003
2023-09-01 22:30:36.364300,100381.61,100606.45,99989.27,100000.0,1743636
2023-09-04 22:30:36.364300,100581.9,100581.9,98427.81,100000.0,1801237
2023-09-05 22:30:36.364300,99839.38,101022.17,99839.38,100000.0,2653430
2023-09-06 22:30:36.364300,99570.55,102091.35,96688.24,100000.0,721062
2023-09-07 22:30:36.364300,100689.88,101830.76,97570.97,100000.0,2597395
2023-09-08 22:30:36.364300,99965.49,101897.25,99370.31,100000.0,2671590
2023-09-11 22:30:36.364300,100068.14,101779.52,96100.34,100000.0,4054852
2023-09-12 22:30:36.364300,99294.01,100916.42,99294.01,100000.0,4935010
2023-09-13 22:30:36.364300,100185.55,100185.55,99599.07,100000.0,2534351
2023-09-14 22:30:36.364300,100323.19,101020.27,98767.92,100000.0,2472545
2023-09-15 22:30:36.364300,100030.73,103102.88,97378.55,100000.0,3427456
2023-09-18 22:30:36.364300,100878.4,103667.76,97405.91,100000.0,1021698
2023-09-19 22:30:36.364300,100531.2,101172.3,99874.43,100000.0,1031994
2023-09-20 22:30:36.364300,99685.73,100701.37,99245.21,100000.0,5207021
2023-09-21 22:30:36.364300,99934.07,100018.01,99934.07,100000.0,1186709
2023-09-22 22:30:36.364300,99599.85,100084.39,99599.85,100000.0,2868712
2023-09-25 22:30:36.364300,100080.63,102414.4,97459.91,100000.0,4830928
2023-09-26 22:30:36.364300,99788.26,100350.78,98176.05,100000.0,3308580
2023-09-27 22:30:36.364300,99974.29,100771.87,99974.29,100000.0,515017
2023-09-28 22:30:36.364300,100786.86,106456.63,99699.45,100000.0,2306935
2023-09-29 22:30:36.364300,100614.49,102247.63,99207.69,100000.0,4105030
2023-10-02 22:30:36.364300,99965.49,101850.5,99420.47,100000.0,2563353
2023-10-03 22:30:36.364300,99703.77,100000.5,98653.98,100000.0,1613695
2023-10-04 22:30:36.364300,100808.83,101614.49,95650.04,100000.0,5899185
2023-10-05 22:30:36.364300,100200.17,100234.17,99139.69,100000.0,452335
2023-10-06 22:30:36.364300,100562.09,100562.09,99426.43,100000.0,2196708
2023-10-09 22:30:36.364300,100557.0,100557.0,99813.79,100000.0,510389
2023-10-10 22:30:36.364300,100696.78,104204.07,99528.58,100000.0,5950545
2023-10-11 22:30:36.364300,99548.23,100888.09,99538.23,100000.0,2582728
2023-10-12 22:30:36.364300,100367.21,100419.92,99614.34,100000.0,2074554
2023-10-13 22:30:36.364300,99977.18,101256.47,98578.2,100000.0,8999194
2023-10-16 22:30:36.364300,100117.62,100758.47,99781.83,100000.0,524195
2023-10-17 22:30:36.364300,100497.54,100785.11,99316.98,100000.0,1193978
2023-10-18 22:30:36.364300,99852.4,100118.54,99852.4,100000.0,3761979
2023-10-19 22:30:36.364300,99543.95,102369.3,98764.99,100000.0,4717404
2023-10-20 22:30:36.364300,100145.01,100723.02,99196.93,100000.0,953901
2023-10-23 22:30:36.364300,101256.51,101256.51,98896.24,100000.0,3570168
2023-10-24 22:30:36.364300,99736.05,102980.01,99001.85,100000.0,9781995
2023-10-25 22:30:36.364300,99341.25,102042.26,98716.41,100000.0,1620010
2023-10-26 22:30:36.364300,99290.79,100225.46,98912.78,100000.0,334739
2023-10-27 22:30:36.364300,99918.71,100293.9,99772.35,100000.0,1373526
2023-10-30 22:30:36.364300,99999.1,102335.83,97305.27,100000.0,4794419
2023-10-31 22:30:36.364300,99232.69,101868.54,99008.17,100000.0,359822
2023-11-01 22:30:36.364300,100803.7,104049.7,97482.68,100000.0,2021599
2023-11-02 22:30:36.364300,99689.27,100645.25,99190.61,100000.0,3012156
2023-11-03 22:30:36.364300,99766.91,100449.5,99581.08,100000.0,692158
2023-11-06 22:30:36.364300,100021.75,101937.36,99004.54,100000.0,6823459
2023-11-07 22:30:36.364300,100858.23,102169.78,98130.1,100000.0,4522571
2023-11-08 22:30:36.364300,100406.27,101285.15,99679.83,100000.0,2848671
2023-11-09 22:30:36.364300,98868.66,105550.23,97664.47,100000.0,1019026
2023-11-10 22:30:36.364300,99835.72,100272.44,98228.56,100000.0,282671
2023-11-13 22:30:36.364300,99474.49,100107.13,96944.29,100000.0,5675217
2023-11-14 22:30:36.364300,100458.48,101686.39,99409.77,100000.0,944150
2023-11-15 22:30:36.364300,99590.18,100031.59,99042.49,100000.0,4546573
2023-11-16 22:30:36.364300,99753.42,100310.05,94765.16,100000.0,378943
2023-11-17 22:30:36.364300,100096.13,102551.65,98883.45,100000.0,3623922
2023-11-20 22:30:36.364300,100549.71,104684.03,96581.79,100000.0,5142098
