date,open,high,low,close,volume
2023-02-06 22:30:36.557150,1125.14,1144.35,1102.11,1130.96,7078329
2023-02-07 22:30:36.557150,1165.74,1207.24,1165.74,1181.25,3058105
2023-02-08 22:30:36.557150,1183.39,1211.14,1156.34,1192.16,8147999
2023-02-09 22:30:36.557150,1153.61,1153.61,1141.48,1146.18,3619259
2023-02-10 22:30:36.557150,1154.76,1183.05,1154.76,1162.79,2053516
2023-02-13 22:30:36.557150,1131.97,1131.97,1117.06,1126.45,3881479
2023-02-14 22:30:36.557150,1125.93,1149.9,1092.43,1138.3,2967536
2023-02-15 22:30:36.557150,1150.74,1168.28,1093.05,1133.4,3919868
2023-02-16 22:30:36.557150,1122.97,1122.97,1102.06,1120.14,8622256
2023-02-17 22:30:36.557150,1122.0,1124.8,1083.01,1124.32,4949403
2023-02-20 22:30:36.557150,1100.41,1100.41,1084.68,1096.9,6923713
2023-02-21 22:30:36.557150,1070.81,1070.81,1047.3,1051.25,6995338
2023-02-22 22:30:36.557150,1054.13,1055.94,1023.41,1038.91,1486160
2023-02-23 22:30:36.557150,1045.26,1046.84,1019.88,1039.14,5271894
2023-02-24 22:30:36.557150,1017.38,1017.38,1001.81,1005.16,8704466
2023-02-27 22:30:36.557150,1003.98,1003.98,979.02,995.79,3917226
2023-02-28 22:30:36.557150,1009.81,1030.85,1009.81,1026.21,3641175
2023-03-01 22:30:36.557150,1021.97,1094.71,994.67,1012.24,5635922
2023-03-02 22:30:36.557150,1038.82,1059.55,1038.82,1045.84,797062
2023-03-03 22:30:36.557150,1020.23,1020.23,988.73,1004.62,2861276
2023-03-06 22:30:36.557150,1016.56,1038.38,1016.56,1019.13,833672
2023-03-07 22:30:36.557150,1023.12,1044.46,1022.07,1030.56,2534503
2023-03-08 22:30:36.557150,1029.63,1045.99,1013.56,1025.68,5308128
2023-03-09 22:30:36.557150,1030.64,1074.42,1022.85,1067.69,5038943
2023-03-10 22:30:36.557150,1085.75,1100.56,1085.75,1092.59,3863141
2023-03-13 22:30:36.557150,1092.32,1129.44,1001.17,1081.26,3503969
