date,open,high,low,close,volume
2023-02-06 22:30:35.998683,1975.06,2042.86,1975.06,1984.57,1264164
2023-02-07 22:30:35.998683,1987.65,2014.76,1935.58,1990.56,3783689
2023-02-08 22:30:35.998683,1975.74,1979.15,1930.36,1963.05,1205568
2023-02-09 22:30:35.998683,1947.39,1947.39,1919.08,1941.64,1962550
2023-02-10 22:30:35.998683,1943.57,2109.16,1905.13,2032.51,3879673
2023-02-13 22:30:35.998683,2049.83,2096.1,2049.83,2074.42,1547742
2023-02-14 22:30:35.998683,2066.49,2066.49,2056.45,2065.52,6107576
2023-02-15 22:30:35.998683,2072.27,2133.56,1968.06,2047.57,472699
2023-02-16 22:30:35.998683,2062.22,2085.69,2034.03,2045.66,2639492
2023-02-17 22:30:35.998683,2063.22,2084.43,2063.22,2078.33,7131402
2023-02-20 22:30:35.998683,2140.98,2155.97,2140.98,2144.08,4853534
2023-02-21 22:30:35.998683,2148.33,2187.98,2064.89,2146.81,2383681
2023-02-22 22:30:35.998683,2218.13,2242.71,2218.13,2223.2,4020988
2023-02-23 22:30:35.998683,2238.06,2324.53,2238.06,2240.23,894260
2023-02-24 22:30:35.998683,2272.57,2333.23,2272.57,2282.69,8980901
2023-02-27 22:30:35.998683,2265.56,2311.68,2258.03,2285.81,2541777
2023-02-28 22:30:35.998683,2360.42,2429.37,2360.42,2370.68,3994196
2023-03-01 22:30:35.998683,2338.92,2338.92,2300.31,2329.79,2132508
2023-03-02 22:30:35.998683,2328.11,2328.11,2316.83,2320.12,252127
2023-03-03 22:30:35.998683,2358.19,2401.95,2358.19,2382.53,5358132
2023-03-06 22:30:35.998683,2498.1,2568.45,2498.1,2522.37,4357917
2023-03-07 22:30:35.998683,2558.69,2678.94,2558.69,2583.44,5589772
2023-03-08 22:30:35.998683,2572.6,2582.08,2452.8,2525.94,2851256
2023-03-09 22:30:35.998683,2553.14,2715.78,2553.14,2611.36,831580
2023-03-10 22:30:35.998683,2630.41,2682.63,2575.21,2641.7,2446766
2023-03-13 22:30:35.998683,2714.99,2747.88,2714.99,2718.69,5022257
2023-03-14 22:30:35.998683,2842.46,2896.61,2842.46,2894.22,1644777
2023-03-15 22:30:35.998683,2941.98,3181.04,2941.98,3064.95,227273
2023-03-16 22:30:35.998683,3214.02,3252.21,3214.02,3242.13,2247322
2023-03-17 22:30:35.998683,3287.47,3450.05,3287.47,3311.01,841159
2023-03-20 22:30:35.998683,3560.18,3608.95,3560.18,3594.75,8598309
2023-03-21 22:30:35.998683,3734.36,3942.63,3734.36,3924.67,11453928
2023-03-22 22:30:35.998683,4407.41,4435.31,4407.41,4424.16,2106748
2023-03-23 22:30:35.998683,4843.88,5014.09,4843.88,4961.53,11769812
2023-03-24 22:30:35.998683,5653.72,5685.28,5653.72,5667.98,395160
2023-03-27 22:30:35.998683,6493.05,6751.41,6493.05,6664.32,18088949
2023-03-28 22:30:35.998683,8339.54,8912.11,8339.54,8540.18,18264546
2023-03-29 22:30:35.998683,11158.93,11292.82,11158.93,11267.49,6559951
2023-03-30 22:30:35.998683,15740.65,16423.76,15740.65,16088.41,45322696
2023-03-31 22:30:35.998683,23814.81,24380.17,23814.81,24132.61,36033345
2023-04-03 22:30:35.998683,36086.66,36506.33,36086.66,36198.92,33060717
2023-04-04 22:30:35.998683,54072.18,54650.31,54072.18,54298.38,24683796
2023-04-05 22:30:35.998683,81058.48,83870.77,81058.48,81447.57,3800776
2023-04-06 22:30:35.998683,99489.63,100227.33,99489.63,100000.0,3602162
2023-04-07 22:30:35.998683,100307.18,103549.65,99869.52,100000.0,1241242
2023-04-10 22:30:35.998683,99807.28,100263.45,99759.56,100000.0,973216
2023-04-11 22:30:35.998683,99403.68,103127.19,98275.18,100000.0,3813478
2023-04-12 22:30:35.998683,99751.72,100404.07,98470.39,100000.0,8243286
2023-04-13 22:30:35.998683,99526.46,101856.16,97904.8,100000.0,1316764
2023-04-14 22:30:35.998683,99779.23,100861.04,99668.55,100000.0,6638133
2023-04-17 22:30:35.998683,99726.41,100954.71,99007.95,100000.0,3803336
2023-04-18 22:30:35.998683,99691.44,101203.98,99691.44,100000.0,3280202
2023-04-19 22:30:35.998683,99529.65,100810.7,99529.65,100000.0,1721388
2023-04-20 22:30:35.998683,100274.78,101835.93,99870.92,100000.0,8132376
2023-04-21 22:30:35.998683,99798.48,102131.98,99798.48,100000.0,4670729
2023-04-24 22:30:35.998683,100235.43,100235.43,99762.13,100000.0,1932881
2023-04-25 22:30:35.998683,99992.72,101318.38,98267.87,100000.0,625223
2023-04-26 22:30:35.998683,99913.17,102555.22,97374.7,100000.0,1745130
2023-04-27 22:30:35.998683,100006.78,101192.48,96504.45,100000.0,2229908
2023-04-28 22:30:35.998683,100354.59,100804.09,99663.35,100000.0,412732
2023-05-01 22:30:35.998683,100986.7,101601.38,95253.82,100000.0,522313
2023-05-02 22:30:35.998683,99437.37,104159.69,93976.65,100000.0,8576760
2023-05-03 22:30:35.998683,99999.99,100454.64,99898.79,100000.0,1167581
2023-05-04 22:30:35.998683,100077.79,100077.79,99975.23,100000.0,2321122
2023-05-05 22:30:35.998683,100594.93,100774.61,99542.61,100000.0,1605167
2023-05-08 22:30:35.998683,99921.19,101958.08,99270.42,100000.0,5704879
2023-05-09 22:30:35.998683,99498.01,100779.22,98997.04,100000.0,2998343
2023-05-10 22:30:35.998683,99914.25,100450.1,99914.25,100000.0,817719
2023-05-11 22:30:35.998683,99782.3,100474.56,99782.3,100000.0,1734049
2023-05-12 22:30:35.998683,99572.28,100541.21,99407.01,100000.0,1730613
2023-05-15 22:30:35.998683,99808.06,100215.34,96999.73,100000.0,439724
2023-05-16 22:30:35.998683,100788.83,101529.88,98989.3,100000.0,354133
2023-05-17 22:30:35.998683,99859.96,100020.05,98430.3,100000.0,2742726
2023-05-18 22:30:35.998683,99267.96,103210.22,98255.34,100000.0,3181190
2023-05-19 22:30:35.998683,99863.06,100325.91,99356.17,100000.0,4025425
2023-05-22 22:30:35.998683,99662.9,102142.27,97582.88,100000.0,1697851
2023-05-23 22:30:35.998683,99442.75,100479.95,99442.75,100000.0,3390851
2023-05-24 22:30:35.998683,100778.9,101029.29,99418.29,100000.0,2036932
2023-05-25 22:30:35.998683,100418.28,101073.83,99898.71,100000.0,6179385
2023-05-26 22:30:35.998683,100032.84,100032.84,99470.22,100000.0,2301941
2023-05-29 22:30:35.998683,100140.96,100851.6,99896.61,100000.0,1147235
2023-05-30 22:30:35.998683,99506.04,100857.56,98638.86,100000.0,3895246
2023-05-31 22:30:35.998683,100296.26,100693.4,94124.95,100000.0,6878412
2023-06-01 22:30:35.998683,99731.51,100036.02,99316.73,100000.0,3014006
2023-06-02 22:30:35.998683,99304.21,103031.52,98891.63,100000.0,947069
2023-06-05 22:30:35.998683,99702.33,100517.39,98231.03,100000.0,956321
