date,open,high,low,close,volume
2023-02-06 22:30:36.147708,1131.19,1162.86,1104.07,1142.79,873096
2023-02-07 22:30:36.147708,1171.52,1210.96,1171.52,1178.11,2381706
2023-02-08 22:30:36.147708,1181.16,1199.73,1175.18,1186.51,4016022
2023-02-09 22:30:36.147708,1154.16,1154.16,1137.7,1142.14,4047837
2023-02-10 22:30:36.147708,1158.64,1162.04,1158.64,1161.74,3733548
2023-02-13 22:30:36.147708,1154.2,1166.51,1154.2,1157.18,2138358
2023-02-14 22:30:36.147708,1150.38,1157.75,1131.72,1143.76,4204361
2023-02-15 22:30:36.147708,1145.79,1145.79,1134.34,1136.19,4359786
2023-02-16 22:30:36.147708,1144.11,1148.26,1124.76,1143.13,2388643
2023-02-17 22:30:36.147708,1135.61,1136.44,1102.98,1129.63,1204144
2023-02-20 22:30:36.147708,1125.71,1175.53,1111.94,1128.96,544180
2023-02-21 22:30:36.147708,1132.17,1132.17,1121.14,1122.98,1389460
2023-02-22 22:30:36.147708,1094.32,1094.32,1085.97,1091.06,3098081
2023-02-23 22:30:36.147708,1075.19,1075.19,1041.73,1050.42,2628197
2023-02-24 22:30:36.147708,1052.62,1052.62,993.34,1046.49,2627571
2023-02-27 22:30:36.147708,1038.57,1072.15,1022.31,1038.15,2053948
2023-02-28 22:30:36.147708,1033.61,1038.22,1016.84,1036.92,4486483
2023-03-01 22:30:36.147708,1037.71,1058.82,1033.33,1040.25,2312812
2023-03-02 22:30:36.147708,1019.86,1019.86,989.55,1009.09,1453710
2023-03-03 22:30:36.147708,973.36,973.36,946.83,949.27,2585669
2023-03-06 22:30:36.147708,943.31,959.69,903.99,941.29,968323
2023-03-07 22:30:36.147708,943.26,944.62,940.67,943.75,5561439
2023-03-08 22:30:36.147708,904.04,904.04,896.35,903.56,1295327
2023-03-09 22:30:36.147708,870.35,870.35,842.86,858.58,1833465
2023-03-10 22:30:36.147708,834.27,834.27,825.4,832.42,6609109
2023-03-13 22:30:36.147708,825.06,825.06,818.63,822.29,9435254
2023-03-14 22:30:36.147708,811.81,811.81,791.24,794.74,323287
2023-03-15 22:30:36.147708,763.59,763.59,747.38,761.49,10223053
2023-03-16 22:30:36.147708,765.78,801.08,750.05,774.47,1694364
2023-03-17 22:30:36.147708,775.81,775.81,765.74,766.32,2041299
2023-03-20 22:30:36.147708,754.58,754.58,714.85,738.97,2174495
2023-03-21 22:30:36.147708,706.54,706.54,703.14,705.68,10742725
2023-03-22 22:30:36.147708,671.66,671.66,664.2,669.97,470630
2023-03-23 22:30:36.147708,629.46,629.46,627.31,629.45,12285192
2023-03-24 22:30:36.147708,626.34,626.34,610.98,622.1,818271
2023-03-27 22:30:36.147708,630.22,631.9,630.22,630.38,4312556
2023-03-28 22:30:36.147708,636.33,654.83,636.33,640.75,3202078
2023-03-29 22:30:36.147708,608.82,608.82,595.07,608.1,4581845
2023-03-30 22:30:36.147708,581.55,581.55,580.2,580.28,10245843
2023-03-31 22:30:36.147708,537.76,537.76,526.07,536.03,11056150
2023-04-03 22:30:36.147708,511.06,511.06,490.61,499.78,4206375
2023-04-04 22:30:36.147708,462.97,462.97,457.43,459.6,849511
2023-04-05 22:30:36.147708,428.45,428.45,418.53,422.87,7140172
2023-04-06 22:30:36.147708,404.15,404.15,372.21,383.45,9234608
2023-04-07 22:30:36.147708,371.43,371.43,360.21,369.09,10488631
2023-04-10 22:30:36.147708,340.67,340.67,339.54,339.66,7193280
2023-04-11 22:30:36.147708,320.97,320.97,312.88,315.93,4783272
2023-04-12 22:30:36.147708,293.95,293.95,283.87,286.58,4908668
2023-04-13 22:30:36.147708,270.77,270.77,265.27,266.31,629492
2023-04-14 22:30:36.147708,258.74,258.74,255.93,256.96,1963631
2023-04-17 22:30:36.147708,239.23,239.23,229.7,232.99,6797415
2023-04-18 22:30:36.147708,218.31,218.31,209.76,217.93,3184702
2023-04-19 22:30:36.147708,208.33,208.33,205.39,206.44,4723437
2023-04-20 22:30:36.147708,192.69,192.69,186.48,189.02,5059348
2023-04-21 22:30:36.147708,172.29,172.29,171.64,172.15,10196043
2023-04-24 22:30:36.147708,162.06,162.06,159.42,160.58,1690558
2023-04-25 22:30:36.147708,146.62,146.62,144.93,144.93,11822756
2023-04-26 22:30:36.147708,134.46,134.46,131.27,131.87,3166040
2023-04-27 22:30:36.147708,123.07,123.07,121.45,122.01,7240001
2023-04-28 22:30:36.147708,118.16,118.16,115.15,117.58,11600304
