date,open,high,low,close,volume
2023-02-06 22:30:36.025678,3130.01,3245.28,3077.35,3119.82,7847079
2023-02-07 22:30:36.025678,3131.18,3167.53,3012.67,3049.05,4392258
2023-02-08 22:30:36.025678,2983.48,2983.48,2798.27,2968.91,4416700
2023-02-09 22:30:36.025678,2954.1,2990.22,2910.19,2940.18,1984027
2023-02-10 22:30:36.025678,2941.89,3002.24,2888.29,2956.16,6210668
2023-02-13 22:30:36.025678,2955.3,2956.9,2901.54,2940.26,750279
2023-02-14 22:30:36.025678,2890.48,2890.48,2822.89,2857.06,5090472
2023-02-15 22:30:36.025678,2743.54,2743.54,2701.82,2742.71,585661
2023-02-16 22:30:36.025678,2727.1,2799.42,2682.63,2733.34,2746549
2023-02-17 22:30:36.025678,2655.62,2655.62,2626.87,2638.59,3975296
2023-02-20 22:30:36.025678,2637.44,2666.56,2578.7,2579.4,1240964
2023-02-21 22:30:36.025678,2562.93,2587.66,2562.93,2582.51,596672
2023-02-22 22:30:36.025678,2578.44,2632.25,2543.01,2568.25,3971452
2023-02-23 22:30:36.025678,2424.09,2424.09,2395.01,2402.62,4886181
2023-02-24 22:30:36.025678,2409.18,2493.33,2409.18,2419.75,7050753
2023-02-27 22:30:36.025678,2304.85,2304.85,2270.84,2301.84,8840384
2023-02-28 22:30:36.025678,2235.97,2235.97,2194.07,2200.26,3454733
2023-03-01 22:30:36.025678,2117.35,2117.35,2066.57,2085.01,8943957
2023-03-02 22:30:36.025678,1984.76,1984.76,1864.82,1945.54,4681500
2023-03-03 22:30:36.025678,1797.28,1797.28,1778.93,1782.56,2437932
2023-03-06 22:30:36.025678,1759.14,1759.14,1731.33,1742.64,4122680
2023-03-07 22:30:36.025678,1696.77,1696.77,1665.68,1691.73,1889591
2023-03-08 22:30:36.025678,1659.49,1659.49,1651.93,1652.98,1612874
2023-03-09 22:30:36.025678,1650.59,1653.38,1629.37,1629.6,1436592
2023-03-10 22:30:36.025678,1554.2,1554.2,1493.43,1525.67,4707369
2023-03-13 22:30:36.025678,1464.1,1464.1,1449.15,1461.01,5824035
2023-03-14 22:30:36.025678,1424.75,1424.75,1417.37,1421.64,3521204
2023-03-15 22:30:36.025678,1296.7,1296.7,1274.58,1285.3,3599197
2023-03-16 22:30:36.025678,1191.31,1191.31,1164.88,1190.41,1201475
2023-03-17 22:30:36.025678,1116.27,1116.27,1106.46,1112.64,7004855
2023-03-20 22:30:36.025678,1082.31,1082.31,1020.24,1030.29,5464403
2023-03-21 22:30:36.025678,988.35,988.35,960.41,962.77,3557033
2023-03-22 22:30:36.025678,963.13,964.35,881.17,895.64,6666137
2023-03-23 22:30:36.025678,844.5,844.5,816.38,841.5,7052528
2023-03-24 22:30:36.025678,743.53,743.53,735.05,743.2,9432427
2023-03-27 22:30:36.025678,705.21,705.21,695.06,699.89,4385064
2023-03-28 22:30:36.025678,607.12,607.12,602.02,605.7,4670994
2023-03-29 22:30:36.025678,538.8,538.8,526.01,528.72,11331903
2023-03-30 22:30:36.025678,489.28,489.28,474.47,480.05,3249131
2023-03-31 22:30:36.025678,439.14,439.14,422.54,432.24,8064526
2023-04-03 22:30:36.025678,405.77,405.77,396.19,399.53,2409113
2023-04-04 22:30:36.025678,379.22,379.22,377.86,379.02,6342221
2023-04-05 22:30:36.025678,333.12,333.12,321.5,332.46,9562538
2023-04-06 22:30:36.025678,324.71,324.71,306.26,309.69,10104262
2023-04-07 22:30:36.025678,290.5,290.5,280.95,289.17,3257471
2023-04-10 22:30:36.025678,270.31,270.31,267.98,268.69,7357679
2023-04-11 22:30:36.025678,259.69,259.69,256.05,257.69,10220852
2023-04-12 22:30:36.025678,249.11,249.11,244.53,247.66,9388287
2023-04-13 22:30:36.025678,231.75,231.75,223.55,227.72,12922067
2023-04-14 22:30:36.025678,200.89,200.89,193.77,199.27,527104
2023-04-17 22:30:36.025678,187.7,187.7,181.66,183.92,1603256
2023-04-18 22:30:36.025678,165.41,165.41,163.25,163.33,10998393
2023-04-19 22:30:36.025678,143.6,143.6,140.9,142.69,8179159
