date,open,high,low,close,volume
2023-02-06 22:30:36.244154,437.04,444.99,437.04,440.22,1323703
2023-02-07 22:30:36.244154,439.01,439.01,437.64,438.29,2814893
2023-02-08 22:30:36.244154,438.67,439.65,430.38,435.77,4877186
2023-02-09 22:30:36.244154,435.24,435.24,427.54,434.38,213295
2023-02-10 22:30:36.244154,433.15,436.8,421.12,427.67,816188
2023-02-13 22:30:36.244154,429.78,429.78,408.5,422.59,4103958
2023-02-14 22:30:36.244154,424.39,431.78,413.97,417.01,5596944
2023-02-15 22:30:36.244154,413.5,413.5,398.17,410.96,5203923
2023-02-16 22:30:36.244154,414.2,416.3,410.07,415.47,2820552
2023-02-17 22:30:36.244154,415.68,429.23,415.59,425.13,7572413
2023-02-20 22:30:36.244154,422.53,425.23,419.05,425.19,5750107
2023-02-21 22:30:36.244154,427.14,451.12,419.37,433.77,5691600
2023-02-22 22:30:36.244154,434.62,436.83,426.18,430.63,1244797
2023-02-23 22:30:36.244154,427.94,440.66,424.42,430.08,1996797
2023-02-24 22:30:36.244154,428.01,428.01,419.74,425.83,547274
2023-02-27 22:30:36.244154,428.52,435.76,426.9,427.45,5338943
2023-02-28 22:30:36.244154,428.49,428.49,410.9,425.01,6582798
2023-03-01 22:30:36.244154,424.77,425.41,412.19,419.76,436524
2023-03-02 22:30:36.244154,420.11,426.35,420.11,420.65,1906956
2023-03-03 22:30:36.244154,420.03,432.82,411.68,414.74,4026769
2023-03-06 22:30:36.244154,414.75,414.75,414.47,414.61,4004838
2023-03-07 22:30:36.244154,414.42,422.34,404.85,415.98,2142504
2023-03-08 22:30:36.244154,412.16,412.16,410.4,410.95,2147978
2023-03-09 22:30:36.244154,421.5,427.88,421.5,423.3,3266553
2023-03-10 22:30:36.244154,419.91,426.37,411.04,420.38,557610
2023-03-13 22:30:36.244154,408.92,408.92,405.25,406.95,1960548
2023-03-14 22:30:36.244154,407.54,407.54,394.77,399.63,2666194
2023-03-15 22:30:36.244154,399.63,421.08,399.63,399.97,3651158
2023-03-16 22:30:36.244154,399.06,399.06,396.06,398.37,5223697
2023-03-17 22:30:36.244154,404.4,408.57,401.84,403.45,1750410
2023-03-20 22:30:36.244154,399.17,399.17,396.13,397.95,7475852
2023-03-21 22:30:36.244154,398.1,401.37,375.68,386.67,8462368
2023-03-22 22:30:36.244154,384.5,388.79,378.12,380.35,1152145
2023-03-23 22:30:36.244154,381.28,387.71,381.28,386.06,1058519
2023-03-24 22:30:36.244154,385.79,398.62,366.69,384.63,1261698
